end_date,intrinsic,trigger
1994-06-12,Cost of No. 2 fuel oil mentioned in analysis; insurance not part of production cost; oil prices a factor in North Sea.,
1994-06-19,"General factors affecting oil prices, including alternative fuels and government policies. Ongoing geopolitical tensions and supply chain disruptions causing short-term volatility. Long-term shift to renewable energy.",
1994-06-26,"Adjustment of US Code pay rates, considering gasoline and oil costs.",
1994-07-03,"Fact: Largest U.S. chemical company produces oil, natural gas, and gasoline.",
1994-07-10,"General fact about US farmers in 1994: fewer than 2 million, considered price-takers.",
1994-07-17,"{""intrinsic"": """", ""trigger"": """"}",
1994-07-24,"{""intrinsic"": """", ""trigger"": """"}",
1994-07-31,"Existing US environmental protection regulations for oil and gas, and their increasing importance potentially shifting energy practices long-term.",
1994-08-07,Historical fact on the origin of excluding petrol from inflation measures due to 1970s oil shocks.,
1994-08-14,"Discussion of historical costs (1977-1984) for Point Lisas complex (US$2,500M) and government's 75% investment borrowing.",
1994-08-21,"Oil price was $20/barrel in 1994, translating to $0.73/gallon gasoline, representing a general market condition.",
1994-08-28,"Natural gas prices plunged to a two-year low on August 25, 1994.",
1994-09-04,"Energy Secretary Hazel O'Leary heads the Economic Regulatory Administration, a key regulatory body.",
1994-09-11,"Fuel prices were a concern in 1994, with widespread strikes in some countries. Petrol and diesel prices were tracked in India.",
1994-09-18,"Average oil price for 1994 was $31 a barrel, a realized economic fact for the year.",
1994-09-25,Crude oil and coal prices are determined by international markets; energy prices expected to remain volatile due to global trends and supply/demand imbalances.,
1994-10-02,Delta Air Lines' 1994 fuel costs were highly sensitive to jet fuel price changes (approx. $25M per cent).,
1994-10-09,"{""intrinsic"": """", ""trigger"": """"}",
1994-10-16,"Expected revenue from gas guzzler taxes, potential economic effects of fuel taxes, and predictions of long-term energy market shifts and continued crude oil price volatility.",
1994-10-23,"Gasoline price reached nearly $20 a gallon in the U.S. on October 19, 1994.",Political or military crisis increased U.S. retail gasoline prices by five cents per gallon.
1994-10-30,Economy remained strong in certain states despite soft crude oil and natural gas prices in October 1994.,
1994-11-06,"Ongoing energy-related developments in the US, including damage-cost estimates by the Energy Commission and operation of central heating plants.",
1994-11-13,"Crystal Oil's shares rose due to its $101M sale of oil/gas fields to Apache Corporation, exemplifying ongoing energy industry consolidation.",
1994-11-20,"Honduras liberalized fuel oil prices in 1994, a factual policy change affecting economic and energy dynamics.",
1994-11-27,"{""intrinsic"": """", ""trigger"": """"}",
1994-12-04,Philippines' substantial hydro power resources support long-term energy diversification and insulate from oil price volatility. Short-term oil prices expected stable.,
1994-12-11,"{""intrinsic"": """", ""trigger"": """"}",
1994-12-18,Historical decline in butane price relative to gasoline (1987-1988).,
1994-12-25,No objective facts found regarding US gasoline or oil prices in search results for the week.,
1995-01-01,Historical fact: The oil shocks of the 1970s led to an expansion of Saudi Arabia's economy due to increased oil prices.,
1995-01-08,"Fact: Biomass power generation can decrease economic risks associated with fluctuating fossil fuel prices, representing a known economic dynamic.",
1995-01-15,"The US government maintains an underground petroleum storage facility, a standing fact impacting fuel and oil prices.",
1995-01-22,Ongoing considerable increase in oil prices over the last two years as of this week.,
1995-01-29,,Attempt to lower gasoline prices by releasing gasoline from the Northeast reserve.
1995-02-05,"{""intrinsic"": """", ""trigger"": """"}",
1995-02-12,"US imports petroleum at above international prices, as noted in an IMF report.",
1995-02-19,American Automobile Association reported 1994 gasoline and oil cost rates.,
1995-02-26,"{""intrinsic"": """", ""trigger"": """"}",
1995-03-05,Fuel price uncertainty in 1995 affected economic evaluation of energy efficiency projects.,
1995-03-12,Geological rating of Arctic Refuge coastal plain as the most promising onshore oil and gas exploration area in the US.,
1995-03-19,A known economic fact: US refiner's crude oil acquisition cost is a factor in determining jet fuel prices.,
1995-03-26,"Release of the latest US inflation report, providing clues for short-term gasoline price trends (decrease or stabilization).",
1995-04-02,World oil price is largely exogenous to U.S. economy; rising inflation and increasing costs of gasoline/electricity are current drivers for future price increases.,
1995-04-09,"Oil prices were lower on average in 1995, described as unreasonably low.",
1995-04-16,Consideration of alternate feedstocks in ammonia plants could impact natural gas demand.,
1995-04-23,Search results for prices were confirmed not related to United States gasoline or oil prices.,
1995-04-30,Annual US corrosion cost estimated by NACE at over $276 billion.,
1995-05-07,"Ongoing trend of rising oil prices from 1994, leading to expected short-term gasoline price increases based on current trends.",
1995-05-14,Factual dynamic: Barbados gasoline prices in 1995 were affected by oil import prices.,
1995-05-21,"{""intrinsic"": """", ""trigger"": """"}",
1995-05-28,US has been a net importer of natural gas since 1958; gasoline prices influenced by oil imports and potential environmental issues.,
1995-06-04,Railroad Commission's ongoing influence on oil and natural gas supply and price throughout the 20th century.,
1995-06-11,Known historical impact of late 1970s oil price increases on fuel prices.,
1995-06-18,General scientific fact regarding fuel oil evaporation dependence on temperature and composition.,
1995-06-25,Gasoline and oil prices dropped due to worries over rising supplies.,
1995-07-02,General conditions for 1995: relatively low fuel prices and declining oil production levels.,
1995-07-09,Ongoing concern about gasoline and oil costs and efforts to stabilize prices and regional stability.,
1995-07-16,"US ethanol production grew from a low base in 1995, indicating an ongoing trend for the year.",
1995-07-23,"Average US vehicle age reached a record 12.6 years, indicating people are keeping cars longer due to high prices.",
1995-07-30,Realized annual average price of LAB in the Community for 1995.,
1995-08-06,"International crude oil price rose 8% in July 1995; US gasoline stocks stable in August 1995, likely increasing short-term gasoline prices.",
1995-08-13,The United States has a Northeast gasoline reserve that can be used to influence prices.,
1995-08-20,"Gasoline prices nationwide dropped nearly 3 cents a gallon in the past three weeks, dipping below last year's average. Prices are expected to continue dropping or remain stable in the short term.",
1995-08-27,"Realized spot price for southwest Wyoming gas on August 21, 1995.",
1995-09-03,Average price for dimension stone in the US decreased from $182 to $176 per ton.,
1995-09-10,"The US is a net importer of crude oil, influencing gasoline and oil prices via global market trends and imports.",
1995-09-17,"US is a net importer of crude oil and petroleum products, with imports accounting for over 50% of crude oil used in 1994.",
1995-09-24,A 40% reduction in advertising rates occurred.,
1995-10-01,"The United States is the world's leading oil producer, and its oil sales fundamentally impact gasoline markets and marketing.",
1995-10-08,"US oil tax is a standing policy included in the price of petrol, diesel, and other fuels.",
1995-10-15,Motor fuel tax rate in Delaware is 6.00.,
1995-10-22,Fuel oil and gasoline prices discussed in environmental regulations and industry reports.,
1995-10-29,General economic principle: US economy is affected by world oil prices.,
1995-11-05,"Ongoing trend of declining crude oil production in the United States since 1986, suggesting potential long-term fuel price increases.",
1995-11-12,Crude oil prices surged in the United States in 1995 due to petroleum shortages.,
1995-11-19,U.S. natural gas resources support energy independence; long-term forecast assumes stable oil prices.,
1995-11-26,"State gas prices reached record highs, driven by a marked increase in crude oil prices.",
1995-12-03,Historical fact regarding 1979 US oil price decontrol and subsequent price rise.,
1995-12-10,Effort to lower gasoline prices via Northeast reserve release.,
1995-12-17,"{""intrinsic"": """", ""trigger"": """"}",
1995-12-24,Fact about US crude oil imports from countries like Angola.,
1995-12-31,Average US gas price in December 1995 was $1.08/gallon; Ethanol is consumed as fuel.,OPEC raised crude oil prices by 70 percent in 1995.
1996-01-07,US federal regulation of domestic petroleum prices causes crude oil overconsumption and underproduction.,
1996-01-14,"Fact about the FOTCO project in Pakistan, detailing its handling of furnace oil, motor gasoline, and high-speed diesel oil, with a project cost of US$ 100 million.",
1996-01-21,Fact: ADM is largest US ethanol producer. Long-term trend of US oil imports may continue to influence gasoline prices.,
1996-01-28,Analysis of potential carbon tax ($5/ton) impact on oil prices and $10-15B revenue generation.,
1996-02-04,"High gasoline prices are a problem due to oil and gas production issues, which the administration acknowledges.",
1996-02-11,DoD Financial Management Regulation and National Defense Authorization Act for FY 1996 outline pricing requirements for petroleum products.,
1996-02-18,"Gasoline price in the United States was $1.13 per gallon in 1996, a realized fact for the period.",
1996-02-25,"Oregon's economy: significant reliance on oil and motor gasoline, creating inherent risks.",
1996-03-03,"Historical fact: 1972-1978 OPEC embargo led to unilateral crude oil price increases, representing a known, foundational dynamic for oil markets.",
1996-03-10,Ongoing US five-cents-per-barrel tax on petroleum produced or imported.,
1996-03-17,Reporting of average residential utility prices in the U.S. city average and selected areas.,
1996-03-24,"{""intrinsic"": """", ""trigger"": """"}",
1996-03-31,"US crude oil, natural gas, and natural gas liquids estimates were completed.",
1996-04-07,"As of 1996, a $1 change in oil and gas lease prices affects exploration for conventional resources in the United States.",
1996-04-14,"{""intrinsic"": """", ""trigger"": """"}",
1996-04-21,"{""intrinsic"": """", ""trigger"": """"}",
1996-04-28,The volumetric unit of measure for crude oil and petroleum products is equivalent to 42 US gallons.,
1996-05-05,President Clinton announced sale of strategic oil reserves to curb an election-year surge in gasoline prices.,
1996-05-12,"Fact: Majority of US energy is from fossil fuels (coal, oil, natural gas).",
1996-05-19,"US is a major oil consumer, Nigeria a key supplier. Gasoline prices expected to be stable with normal global oil price fluctuations.",
1996-05-26,"Wholesale gasoline and crude oil prices fell in some US states as of May 22, 1996.",
1996-06-02,"Realized fact: Mild 1995 winter kept fuel oil prices in check, followed by higher prices due to cold Dec 1995 in the northeast.",
1996-06-09,Lack of direct information on United States gasoline or oil prices as of 1996.,
1996-06-16,"Fact: US gasoline prices are close to market prices, unlike most developed nations with heavy taxes.",
1996-06-23,Historical fact about oil prices and Soviet foreign policy in the late 1980s.,
1996-06-30,Research comparing fuel oil/diesel cost to gin trash utilization was prepared.,
1996-07-07,Introduction of cleaner-burning gasoline in California led to a sharp drop in benzene levels in the state's air.,
1996-07-14,Historical fact on 1970 oil price surge and its significant impact on European energy consumption.,
1996-07-21,Brunei's gasoline price subsidies and efforts to diversify its oil-based economy were ongoing as of 1996.,
1996-07-28,"{""intrinsic"": """", ""trigger"": """"}",
1996-08-04,"Fact: Operating expenses for a bus garage include gasoline, oil, tires, labor, parts, and insurance costs.",
1996-08-11,Historical fact about 1970s oil embargo leading to significant oil price increase.,
1996-08-18,Historical fact: US started phasing out lead from gasoline in mid-1970s in response to rising oil prices.,
1996-08-25,United States was a major oil and gas producer in 1996.,
1996-09-01,General fact: Market fuel price variations affect cost of goods and services.,
1996-09-08,"{""intrinsic"": """", ""trigger"": """"}",
1996-09-15,Factual sales data for Amoco (1994); long-term outlook for gasoline/oil prices due to alternative fuels and environmental policies.,
1996-09-22,Realized fact: Exxon is the largest oil company in the United States.,
1996-09-29,"US annual sales of explosives, mining, construction, and oil/gas industries were approximately $1 billion in 1996.",
1996-10-06,Fact about natural gas pricing: heating value is a criterion for pricing in many pipelines in the US and worldwide.,
1996-10-13,"US policy uses a 5-year rolling average for fuel oil prices, indicating expected market fluctuations.",
1996-10-20,Historical fact about oil price impact on car sales (1965-1990) and long-term expectations for the transportation sector.,
1996-10-27,"{""intrinsic"": """", ""trigger"": """"}",
1996-11-03,"{""intrinsic"": """", ""trigger"": """"}",
1996-11-10,"Reported gasoline, fuel oil, and engine oil prices in Liberia as of November 1996.",
1996-11-17,Expected long-term influence of global demand/supply on oil/gasoline prices; short-term volatility likely due to refinery operations and global events.,
1996-11-24,General historical fact: US has a history of oil and gas drilling activity.,
1996-12-01,"Historical fact on US natural gas price regulation: FERC regulated until 1985, with prices kept low until 1978.",
1996-12-08,"{""intrinsic"": """", ""trigger"": """"}",
1996-12-15,Reported short-run price elasticity of demand for crude oil.,
1996-12-22,Fact about existing records of U.S. Bureau of Mines containing information on Standard Oil Development.,
1996-12-29,"Release of the latest US inflation report, providing clues to future prices and interest rates.",
1997-01-05,Realized fact of jet fuel cost increase from 1995 to 1996.,
1997-01-12,"No direct information on current United States gasoline or oil prices; general mentions of natural gas, oil shale, and energy crises.",
1997-01-19,"Gasoline prices in the US were impacted by the results of the European Auto-oil programme, a realized fact within this week.",
1997-01-26,"{""intrinsic"": """", ""trigger"": """"}",
1997-02-02,US government implemented Executive Order 13031 promoting alternative-fueled vehicles.,
1997-02-09,Federal Reserve's ongoing study of oil price linkages to macroeconomic variables and the economy.,
1997-02-16,"US gasoline production and distribution is a complex system involving refining, transportation, and retailing.",
1997-02-23,"WTI prices, crude oil futures, and US refined products in bulk quantities were available in Houston, TX.",
1997-03-02,"Crude oil prices started firming in February 1997, indicating an upward trend in energy costs.",
1997-03-09,Retail gasoline prices in Russia exceeded US levels despite low crude oil prices as of March 1997.,
1997-03-16,"Ongoing influence of the Clean Air Act Amendments of 1990, a known regulatory factor affecting retail gasoline prices.",
1997-03-23,"Factual dynamics of gasoline/oil prices, noting historical volatility and potential for sudden changes.",
1997-03-30,,NYT reported widespread concern about crude-price swings impacting firms.
1997-04-06,"Crude oil prices rose 30% in 1997, leading to predictions of high and increasing gasoline prices in the short and long term based on current trends.",
1997-04-13,Historical fact: discovery of new oil reserves led to decreased gasoline prices in years before 1997.,
1997-04-20,"Reporting of average residential utility prices (gas, electricity, fuel oil) in the US.",
1997-04-27,"US imports oil and gas products as of 1997. Gasoline prices are influenced by global oil production, consumption, economic conditions, supply/demand, and are expected to fluctuate.",
1997-05-04,"Record oil industry spending at US Gulf lease sales in 1997, driven by high crude oil prices and profit expectations.",
1997-05-11,"Petrol price in US was 42.5¢/litre in 1997, with 59% tax, up from 9.2¢ in 1983.",
1997-05-18,"Fuel oil, gasoline, and natural gas prices increased in the United States as of May 1997, potentially leading to inflation and higher production costs.",
1997-05-25,"{""intrinsic"": """", ""trigger"": """"}",
1997-06-01,"US was a leading exporter of oil and oilseeds in 1997, also importing palm and coconut oil.",
1997-06-08,Predictions that gas prices would soar to $5 a gallon by 2012 were present as of 1997.,
1997-06-15,U.S. domestic oil trade structure involves Alaskan crude and foreign tankers; increasing urbanization in developing countries is a long-term driver for global energy demand.,
1997-06-22,A standing prohibition on selling motor fuel below cost in Missouri.,
1997-06-29,Crude oil price was less than $14 per barrel in 1997.,
1997-07-06,"FY 1996 budget notes gasoline price affected by oil/gas fields, producing $1.6B in 1997.",
1997-07-13,"Factual statement on tax burden distribution and distinction between exempt and zero-rated supplies, reflecting known economic principles.",
1997-07-20,"Historical facts from 1996 regarding low gasoline inventory, higher crude oil prices, and the shift to heating oil production in August.",
1997-07-27,"Mention of crude oil price in the scheduled FRB: Humphrey-Hawkins report on July 22, 1997.",
1997-08-03,"Oil prices were generally at or below U.S. $20/bbl for much of the period since 1986, representing a long-term factual dynamic.",
1997-08-10,U.S. oil imports were about 54% of consumption in 1997.,
1997-08-17,"Crude oil, gasoline, heating oil, diesel, and propane prices mentioned in a report on competitive electricity pricing.",
1997-08-24,American Housing Survey asked about fuel oil costs in 1997.,
1997-08-31,"Oil and gasoline prices rose on August 28, 1997.",Refinery problem caused oil and gasoline price increases.
1997-09-07,"{""intrinsic"": """", ""trigger"": """"}",
1997-09-14,"{""intrinsic"": """", ""trigger"": """"}",
1997-09-21,Estimated oil price of $40/barrel needed for profitability; oil prices expected to influence economy and gasoline prices.,
1997-09-28,"Shell acquired Tejas Gas for $1.45 billion, a factual event in the energy industry within this time step.",
1997-10-05,"Public law from 1997 mentions US crude oil share, a realized fact within the year's policy context.",
1997-10-12,Elk Hills oil field is one of the 11 largest oil fields in the lower 48 states.,
1997-10-19,"Fact: US corn production is related to ethanol production, affecting oil imports and food prices.",
1997-10-26,The average yearly price of oil is mentioned in the context of geothermal energy development.,
1997-11-02,U.S. annual oil import bill is about $50 billion; 1980-1992 long-term cost totaled $742 billion.,
1997-11-09,,"US Supreme Court ruled in State Oil Co. v. Khan, fixing maximum gasoline prices and impacting market dynamics."
1997-11-16,"Fact: US is a major equipment supplier to Qatar, an OPEC member country.",
1997-11-23,United States has standing standards for reformulated and conventional gasoline.,
1997-11-30,Growing renewable energy sources; increasing US petrol price competition; expected low short/medium term oil prices; robust US demand for Canadian crude in Sep 1997.,
1997-12-07,"{""intrinsic"": """", ""trigger"": """"}",
1997-12-14,"Expected increase in oil and natural gas prices, likely leading to a short-term rise in gasoline prices and increased coal consumption.",
1997-12-21,Known conditions for fuel price adjustment clause.,
1997-12-28,"{""intrinsic"": """", ""trigger"": """"}",
1998-01-04,1997 average jet fuel cost decreased by 4.6% from 1996.,
1998-01-11,Long cold Vermont winters stress heating systems; fluctuating fuel prices can force alternative heating sources.,
1998-01-18,"EPA reported that 30% of US gasoline contains fuel additives like MTBE, a realized fact about fuel composition.",
1998-01-25,"Gas prices falling due to lower crude oil prices, oversupply of gasoline, and mild winter conditions.",
1998-02-01,Gasoline prices in the US dropped nearly 3 cents/gallon over two weeks as crude oil prices continued to decline in January 1998.,
1998-02-08,Estimated crude refining and marketing margins in Japan and US as of 1998.,
1998-02-15,Faster growth in developed economies keeping oil prices up and leading to higher producer price inflation. Oil prices expected to remain stable or increase slightly.,
1998-02-22,"Kerosene price increased in Indonesia, contributing to the economic crisis.",
1998-03-01,Historical context: separation of gas from oil pricing in the 1970s formed an independent pricing system.,"Attack on February 23, 1998, protesting an increase in oil prices."
1998-03-08,Regular tax season activity mentioning gasoline costs for auto expense deductions.,Recalls of specific liquid fuel and motor oil products.
1998-03-15,"Fact: Natural gas, fuel oil, and LPG costs are included in refinery energy system models.",
1998-03-22,"{""intrinsic"": """", ""trigger"": """"}",
1998-03-29,Fact: US had lower pretax gasoline prices compared to other countries as of 1998.,
1998-04-05,Internal issue: cost of executive retirement benefits cannot be properly allocated or disclosed.,
1998-04-12,"Consumer price index in Indonesia rose, leading to a large increase in prices.",Rupiah depreciation and severe drought triggered price increases.
1998-04-19,"Average jet fuel price for 1998 was around 40 US$ per barrel, providing a factual background for the period.",
1998-04-26,,"FTC settled Shell/Texaco allegations, blocking joint venture due to competition concerns and potential gasoline price hikes in Hawaii and California."
1998-05-03,"A prediction of the average oil price for 1998 was $14.59 a barrel, a known fact during this period.",
1998-05-10,,"Significant fuel oil price increase in Anguilla (over EC$3.64) as of May 7, 1998."
1998-05-17,Fact: 1997 crude oil prices were less than $17/barrel.,
1998-05-24,Factual dynamic: Cost differential between Alberta and Chicago markets affects U.S. Gulf Coast natural gas prices.,
1998-05-31,"Historical fact: oil prices have experienced past shocks, like the drop in the early 1980s.",
1998-06-07,"{""intrinsic"": """", ""trigger"": """"}",
1998-06-14,Government policy subsidizes gasoline and fuel prices in the United States.,
1998-06-21,"{""intrinsic"": """", ""trigger"": """"}",
1998-06-28,Fuel oil price calculation based on weekly market price.,
1998-07-05,"US Government's standing policy of no liability for diesel fuel, water, and lubricating oil contents/use.",
1998-07-12,US government offers tax credits for alternative fuel for federal/state government and public education institutions.,
1998-07-19,Farm price of gasoline and diesel fuel in the US increased by 0.7% due to a rise in imported crude oil price.,
1998-07-26,Expected decline/stability in retail gasoline prices due to recent/prospective crude oil price drops.,
1998-08-02,US gas prices remained low due to weak demand during this period.,
1998-08-09,Product mix changed due to Detroit Diesel DELTA Engine marketing and relatively low fuel prices.,
1998-08-16,Gasoline prices dropped due to an increased glut of oil on the world market.,United Nations' decision to let Iraq sell crude oil increased the world market oil glut.
1998-08-23,"{""intrinsic"": """", ""trigger"": """"}",
1998-08-30,"{""intrinsic"": """", ""trigger"": """"}",
1998-09-06,Historical fact noted: Early 1980s natural gas price fall decreased landfill gas-to-energy project profitability.,
1998-09-13,"{""intrinsic"": """", ""trigger"": """"}",
1998-09-20,"Existence of US oxygenated gasoline programs in certain states, affecting gasoline supply and price.",
1998-09-27,Associated Oil Company station closed due to long-term effects of the 1970s oil crisis.,
1998-10-04,Estimated cost of producing fertilizer-grade Ammonium Nitrate in the US is $98/metric ton.,
1998-10-11,Historical facts about the first US oil well and gasoline's share of crude oil products.,
1998-10-18,Fact: Oil price in 1998 was less than $15/barrel.,
1998-10-25,Fact: direct energy use by US poor relevant for energy/social issues.,
1998-11-01,Factual dynamics: capital cost of hydrogen vessels affected by production rates and fuel price.,
1998-11-08,CBS News reported that cheap oil fueled the 1990s economic boom.,"CBS News predicted a drastic jump in petroleum prices in the near future, potentially causing higher gasoline prices and economic instability."
1998-11-15,"Factual dynamics of gasoline prices: state variation, short-term fluctuations from crude oil, inventory, geo-political events. Long-term trend towards lower prices.",
1998-11-22,Gasoline price slipped under $1; WTI crude oil was $13.57 a barrel.,
1998-11-29,US fees on oil and gasoline are a standing factor affecting prices.,
1998-12-06,"Crude oil and gasoline prices hit historic lows, cheapest since U.S. government began keeping statistics (inflation-adjusted).",
1998-12-13,,Instability in the Niger Delta impacted crude oil prices in the international market.
1998-12-20,"Low gas prices in the US, with Utah prices 25 cents lower than previous winter.",
1998-12-27,Fact: Importance of fuel flow rate in underground storage tank operator training.,
1999-01-03,"U.S. crude price dropped to its lowest annual average in 20 years, down 30% from 1997, a realized fact for 1998.",
1999-01-10,Commodity and crude oil prices mentioned in economic and budget outlook for fiscal years 2000.,
1999-01-17,Fact: US transportation sector relies 97% on oil fuel during this week.,
1999-01-24,"U.S. EPA regulations for marine engines, aiming for pollution reduction by 2025, are noted as potentially increasing long-term costs for gasoline/oil producers.",
1999-01-31,,"Saudi government announced 50% natural gas price increase (effective Jan 1, 1998)."
1999-02-07,"Ongoing oversupply of crude and refined oil products, coupled with economic turmoil in Asia, Russia, and Latin America, resulted in low gas prices.",
1999-02-14,"Company uses forward contracts for fuel oil, gas oil, and diesel to manage the risk of ongoing fuel price volatility.",
1999-02-21,"Average US gasoline price was below $1 on Feb 21, 1999, reflecting an ongoing downward trend.",
1999-02-28,Quantity of imported oil rose due to strong U.S. economic activity and lower oil prices.,
1999-03-07,Factual definition of U.S. crude oil benchmark (WTI); general economic predictions on oil price impact and consumption patterns.,
1999-03-14,International gasoline prices moderate relative to 1998 crude oil decline.,
1999-03-21,BLS projected moderate rise in imported oil prices over 1998-2008.,
1999-03-28,"Gasoline prices in the U.S. rose nearly 9 cents a gallon, with retailers increasing prices in anticipation of higher costs.",
1999-04-04,"{""intrinsic"": """", ""trigger"": """"}",
1999-04-11,,Strike in Belgrade affected local gasoline prices.
1999-04-18,"Fact: U.S. CPI-U increased 1.6% in 1998, a realized economic statistic noted during this period.",
1999-04-25,Average international oil price declined by 2% in U.S. dollar terms during 1999.,
1999-05-02,Ongoing higher gasoline and crude prices in California due to refinery shutdowns and problems that occurred prior to this week.,
1999-05-09,"Historical fact about 1970s Arab oil boycott and its impact on gasoline prices, representing a known market dynamic.",
