end_date,intrinsic,trigger
1976-08-31,"{""intrinsic"": """", ""trigger"": """"}",
1976-09-30,"{""intrinsic"": """", ""trigger"": """"}",
1976-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1976-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1976-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1977-01-31,"{""intrinsic"": """", ""trigger"": """"}",
1977-02-28,"{""intrinsic"": """", ""trigger"": """"}",
1977-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1977-04-30,Monthly seasonality for April.,
1977-05-31,"{""intrinsic"": """", ""trigger"": """"}",
1977-06-30,"Monthly period in June 1977, potentially subject to seasonal patterns.",
1977-07-31,"{""intrinsic"": """", ""trigger"": """"}",
1977-08-31,"{""intrinsic"": """", ""trigger"": """"}",
1977-09-30,"{""intrinsic"": """", ""trigger"": """"}",
1977-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1977-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1977-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1978-01-31,"Typical January seasonal effects (e.g., post-holiday retail decline, winter weather impact).",
1978-02-28,"{""intrinsic"": """", ""trigger"": """"}",
1978-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1978-04-30,"{""intrinsic"": """", ""trigger"": """"}",
1978-05-31,Regular monthly seasonality for May.,
1978-06-30,"{""intrinsic"": """", ""trigger"": """"}",
1978-07-31,Regular monthly period; potential summer seasonality.,
1978-08-31,August seasonality,
1978-09-30,"{""intrinsic"": """", ""trigger"": """"}",
1978-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1978-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1978-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1979-01-31,"{""intrinsic"": """", ""trigger"": """"}",
1979-02-28,"{""intrinsic"": """", ""trigger"": """"}",
1979-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1979-04-30,"{""intrinsic"": """", ""trigger"": """"}",
1979-05-31,"{""intrinsic"": """", ""trigger"": """"}",
1979-06-30,"{""intrinsic"": """", ""trigger"": """"}",
1979-07-31,"{""intrinsic"": """", ""trigger"": """"}",
1979-08-31,"{""intrinsic"": """", ""trigger"": """"}",
1979-09-30,"{""intrinsic"": """", ""trigger"": """"}",
1979-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1979-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1979-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1980-01-31,"Formula for maximum possible traffic volume (qe,max). Statistical fact: Two-thirds of traffic fatalities/injuries for ages 6-15 occur in daylight, particularly afternoon.",Discussion/anticipation of the 1981 Air Traffic Controllers' strike and its potential impact on air travel.
1980-02-29,Traffic controller certification requirements in some US states; legal discussions on traffic violations and accidents in Wisconsin.,Multiple-vehicle collisions in construction zones on US Interstate 80.
1980-03-31,"World Bank involved in labor-based civil construction project; US government disseminates documents on track geometry and traffic accidents; rail network reduction via mergers may increase traffic volume; Road Traffic (Amendment) Regulations, 1980 published.",
1980-04-30,"Estimated daily traffic volume on Duke Street at 28,000 cars; high volume residential traffic in a South Central Interior city.",
1980-05-31,Traffic problems impeded work in Office of Fire and Marine Cargo Insurance; concern over managing tourist traffic on Highway 1 in Big Sur.,
1980-06-30,Zoning bylaw defines major streets; academic discussion on traffic assignment problem; acute angle intersections cause delays and accidents.,Non-race traffic created danger at a motorcycle racing event.
1980-07-31,"Reversible lanes implemented in Lexington, KY. Ongoing clean-up from a February 1980 railroad accident. Bartlett, TN zoning ordinance considers traffic volume. General discussions on rural delivery, motor carriers, and road planning.",
1980-08-31,State trunkline M-53 was identified as a major north-south arterial. Traffic committees decided to create new spaces on weekdays.,"Hurricane Allen tracked west to northwest on August 7, 1980, influenced by a strong ridge of high pressure."
1980-09-30,National Highway Traffic mentioned in a speech; significant volume of general cargo traffic from North America and the Baltic to Ireland.,"Report on economic effects of Mount St. Helens eruption published, indicating ongoing impact on transportation."
1980-10-31,Vehicle travel in California Desert managed for improved traffic flow. U.S. freight car fleet travels almost 29 billion miles annually; traffic safety initiatives continue.,
1980-11-30,Road Traffic Act regulations are in place. Evacuation response time depends on traffic volume and roadway capacity. Arc de Triomphe in Paris is a traffic circle.,
1980-12-31,"Massachusetts DEP revised Title 5 of State Environmental Code in 1980, a regulatory policy change potentially influencing transportation.",
1981-01-31,"Kimball, TN, passed road improvement ordinance; Simla, India, banned public traffic; NHTSA prepared motorcycle accident cause factors document.",
1981-02-28,US DOT involved in a study report. Pennsylvania traffic count data available for runaway vehicle frequency. Indian Railways addressing 1980 revenue shortfall through data gathering and planning.,
1981-03-31,Traffic-flow models consider volume and states. Perryville regulations require adequate streets for traffic volume. USDOT published a Railroad Classification Yard Technology Manual in 1981. Jaffrey experienced considerable traffic diversion towards a specific highway.,
1981-04-30,High traffic concerns and ongoing measures; continued traffic impact from 1980 bridge incident; lane closures affect traffic; new commercial vessel traffic rule published.,
1981-05-31,World Bank document noted traffic volume; Tippecanoe County Thoroughfare Plan created; routine road maintenance affected traffic; study predicted increased traffic from future development.,
1981-06-30,"Factual observations on traffic volume comparisons for control devices, average hourly traffic metrics, and 130 MAN buses in Australian traffic in 1981.",
1981-07-31,"Bus transportation to tourist attractions available. Urban toll roads exist, traffic planning considers volume and delay. Significant legal traffic into US. Agana, Guam experiences congestion.",
1981-08-31,UK Parliament discussed seat belt usage statistics; ongoing government reports and analyses on traffic.,"Gold rush to Denver, Colorado, caused a significant increase in traffic volume."
1981-09-30,Large traffic volume observed on roadways surrounding the Washington Monument.,"13,000 national air traffic controllers went on strike; President Reagan authorized their replacement."
1981-10-31,Existing road width limitations affected traffic volume; a study noted traffic adds to travel time and costs.,
1981-11-30,Rapid growth of air travel and aviation predicted. Focus on highway design and air/sea traffic surveillance technology.,20% reduction in imports (1980-1981) impacting merchandise transport. Flight restrictions imposed on U.S. air traffic control system.
1981-12-31,"Concerns about Dallas Freeway Corridor traffic control; Highway Safety Improvement Program (HSIP) established; significant traffic volume increase in Arunachal Pradesh, India.","Kansas City Hyatt Regency walkways collapse, a devastating structural failure."
1982-01-31,"US Department of Transportation evaluated Sulfer Extended Asphalt Pavement on January 15, 1982. The Road Motor Transportation Act was mentioned in the Government Gazette on January 22, 1982.",
1982-02-28,TRAFFIC ACT of 1981 implemented; Concept of constant travel time rates discussed; State's traffic volume charts used in Atlanta Child Murders trial.,
1982-03-31,"Urban planning considers traffic; general facts on railroad ballast, traffic signal warrants, rural road conditions, truck vibrations, and airport operations.",
1982-04-30,Increased traffic volume and affected patterns on neighboring islands and downtown areas.,Severe accident on April 7 caused a traffic jam in Downtown Chrysler. US Border Patrol roadblocks in Key West on April 23 caused traffic delays.
1982-05-31,The Highway Traffic Act empowers provisions related to traffic management.,
1982-06-30,"US highway travel volume in 1982 was 1.4 trillion vehicle miles, with trucks comprising 22.3% of that total.",
1982-07-31,"1982 Terwilliger Parkway Inventory reported traffic volumes. Florida experienced traffic congestion. US rail passenger travel declined, with federal subsidies assessed.",
1982-08-31,"Increased trade volume with China; Road Motor Transportation Act mentioned, indicating a regulatory framework for transportation.",
1982-09-30,Highway construction planning considers holiday traffic volume. Known relationship: traffic volume affects particulate emissions. Labor Day holiday in early September is an expected factor.,
1982-10-31,"Demand for air travel rose by 1-2% in 1981-82. Inland waterway and deep draft navigation systems are suitable for high volume, long haul transportation of bulk cargoes.",
1982-11-30,"Winston City's comprehensive plan for traffic flow and safety was dated November 1, 1982. A Road Traffic Amendment was passed in Western Australia on November 26, 1982.",
1982-12-31,High volume of VFR air traffic in Central US; traffic volumes affected by vehicle size and weight.,Heavy rain and flooding in central states (Dec 3-6) caused road closures and disruptions.
1983-01-31,"Recent traffic counts; growing demand for services; government focus on transportation infrastructure, safety protocols, and reports; expected maintenance and seasonal travel patterns.",
1983-02-28,Ohio Transportation Department mentioned in Federal Register.,Traffic volume affected by war-related convoys and jams.
1983-03-31,State Transportation Department relocated a highway in 1983; existing regulations and guidelines shape travel and transportation; traffic volumes influence pavement and maintenance costs.,Disruptions to traffic patterns due to highway relocation; aftermath of a tornado in South Central Los Angeles.
1983-04-30,"Transportation industries are often regulated and set prices collusively. Traffic grew over 30% annually from 1979-1981, leading to expected congestion.",
1983-05-31,"Policy focus on improving quality of tourist traffic; historical traffic volume counts from 1981 available; government agencies regulate traffic; Allentown intersection traffic count over 30,000 cars/day in 1983.",
1983-06-30,Pittsburgh's traffic involved a traffic circle and walkways. The US had concerns about traffic operations and highway design standards.,
1983-07-31,UN Conference on Trade and Development discussed inter-State traffic; ongoing projects addressed automobile safety and accident reduction.,
1983-08-31,"Poverty rate rose to 15% in 1982, highest since 1965, potentially decreasing travel. Traffic congestion is expected to continue on major routes.",
1983-09-30,"General facts on distribution operations, aircraft evaluations, and a traffic lanes project. Significant pedestrian traffic expected in Plymouth-Canton, Mich. FAA guidelines for airport capacity and Canadian travel rights noted.",
1983-10-31,"Development of park-and-ride facilities intended to reduce traffic congestion; Oak Lawn Plan aims to increase parking supply, expected to decrease local traffic volumes.",
1983-11-30,"NHTSA began investigating an automaker for a March 8 incident, increasing safety scrutiny. Government allocated resources for official travel, potentially increasing traffic.",
1983-12-31,US transportation volume increased by 48% in 1983. NTSB investigated a February 1983 highway accident. General transportation planning focused on traffic volume.,
1984-01-31,UN Office provides traffic services info; Military Traffic Management Command handles commercial land transport; pavement life estimation uses traffic data; traffic volume surveys are ongoing; high traffic volume exists in areas like Guam.,
1984-02-29,Government/state measures to reduce traffic accidents; ongoing transportation planning considerations including cost differences and traffic volumes; impact of traffic on stormwater management; continued policy discussions.,
1984-03-31,"USDOT awarded funds for traffic control devices; travel agents handled over 60% of 1984 US airline ticket sales; ongoing studies on freeway operations, safety, and drainage.",
1984-04-30,Existing Roads and Road Traffic Act; US census counted farms in Westchester; Traffic Safety Commission created a front safety index; ongoing efforts to optimize urban traffic flow and improve safety.,
1984-05-31,EPA has data on passenger car fuel economy and traffic driving patterns for urban and non-urban trips.,
1984-06-30,St. Louis officials underscored the economic importance of travel and transportation.,A record traffic jam threatened to bring vehicular travel to a standstill.
1984-07-31,New zoning ordinance increases site traffic; anticipated heavy commercial traffic on specific roads; US Transportation Dept. enforces National Minimum Drinking Age Act of 1984.,
1984-08-31,Studies on future traffic volume and EV battery safety were conducted. Environmental statements on traffic safety and zoning regulations were in place. Government laws on transportation allowances existed.,
1984-09-30,Suez Canal operations remained near normal despite Red Sea naval mining. Civil Aviation Rules 1984 established guidelines for air traffic control.,
1984-10-31,"Traffic Safety Administration established in 1984, indicating ongoing policy development in safety and management.",
1984-11-30,"General methodologies for highway planning (AADT), existing traffic ordinances (Dodge City, Lee County 84-28), regular road deicing in Michigan, and established air traffic control structures (ARSA).",
1984-12-31,"Ongoing focus on traffic safety and vehicle design, existing NHTSA reports and federal regulations. Average value of oil rose by 45% in 1984, influencing transportation costs.",
1985-01-31,"Factual information on Tanzanian Railway Corporation, historic Oregon bridge, establishment of Idaho Department of Highways, and average daily traffic volume on SR 615.",
1985-02-28,"Publication of various transportation, traffic, and travel-related news; FHWA partnered to improve road safety; facts on tax revenue spending for collection costs; DOT released a report including traffic data.",
1985-03-31,"FAA lifted O'Hare airport schedule curbs in March 1985, citing air-traffic control improvements and expecting increased air travel.",
1985-04-30,"Existing Road Motor Transportation Act and major thoroughfare concepts. Roadway widths account for truck traffic. Traffic volumes predicted to increase, causing congestion.",
1985-05-31,"Traffic counts were conducted at nine rest areas. International air traffic increased by 38.6% from last April, driven by economic strength and U.S. dollar value.",
1985-06-30,"Ongoing traffic growth and congestion, with considerations for infrastructure, security, and commercial travel due to lack of fiscal frontiers. Historical facts and 1984-85 crash statistics published.",
1985-07-31,Michigan initiated a mandatory seat belt law in 1985. Concerns about heavy traffic volume and crowded lines were noted in the US.,
1985-08-31,"Motorcycle industry traffic flow reached late Seventies levels. Urban transportation planning tools used for demand estimation, with expected growth in passenger and cargo traffic.",
1985-09-30,North Atlantic travel market had significant volumes.,
1985-10-31,Existing traffic volumes in major tunnels and specific neighborhoods; MUTCD guidelines on traffic volume for signalization; 1985 evaluation of passing lanes on highways.,
1985-11-30,"High traffic volume on I-95 in Maryland's tunnel, potentially leading to increased congestion in the short term.",
1985-12-31,Report of airline ticket fraud involving travel agencies; expected increase in traffic volume in areas where toll barriers were removed.,
1986-01-31,"City of Shasta County accepted state funding for transportation on January 7, 1986. Traffic continued to be affected by industry trends from late 1985.",
1986-02-28,Federal Travel Regulations incorporate specific sections; appointment of Queensland Minister for Transport Executive Officer (Feb 3); Daytona airport busiest due to commercial air travel decline and international flight restrictions; scheduled event at Pureora State Forest Park.,
1986-03-31,The US has high-volume traffic characteristics; traffic violators and high speeds were observed in Grosse Pointe in 1986.,
1986-04-30,Expected traffic volume increase due to ongoing road improvements. Fears of increased traffic from Harrington Park complex proved unfounded.,
1986-05-31,,"Coronado Neighborhood Special Planning District established on May 21, 1986, with construction of Medical Center and Emerson School, affecting local traffic volume."
1986-06-30,"China's aviation industry reform in 1986 led to increased air traffic and new international routes to Japan, the US, and Europe.",
1986-07-31,Ongoing population growth and development contributing to rapidly increasing traffic volumes and worsening congestion in various regions.,
1986-08-31,Military airlift traffic operations noted; discussions on shrinking freeway lanes for Southern California congestion; commercial air traffic volume expected to rise; document on future road traffic published.,
1986-09-30,Growing concern over urban transport in LDCs due to increased commercial activity and vehicle volumes in 1986. LaSalle Township zoning ordinance requires developments to accommodate traffic.,
1986-10-31,Traffic volume increased.,Introduction of a new system for incoming flights.
1986-11-30,Omnibus Appropriations Act of 1986 provided grants for travel and transportation; US government allocated $1.6B for FY1989 traffic control systems; Federal Register noted expected traffic increase.,
1986-12-31,Marina del Rey land use plan indicates 8-9% of peak traffic from the area. US government has bridge drainage guidelines. Regulatory powers exist in Hawaii and Pulau Pinang for traffic/travel.,
1987-01-31,ICAO recognized major expansion in air traffic volume for 1987; US DOT safety standard for school pupil transport vehicles.,
1987-02-28,Ongoing high traffic between Canada and US due to Automotive Products Trade Agreement; significant shipping traffic volume around New Jersey.,
1987-03-31,High morning peak hour traffic at Route 419/Brambleton Avenue intersection. Traffic volumes growing faster than transportation infrastructure development.,
1987-04-30,"Public Law 100-17 enacted to reduce New York congestion. Traffic volume and flow studies conducted on heavy vehicles. United States Lines, Inc. and JR East mentioned.",
1987-05-31,General facts on land use and traffic volume influencing driver speed. Efforts to re-engine diesel engines for traffic plan. Low traffic in Guinea due to network deterioration.,
1987-06-30,Increased traffic volume on Thruway and local highways.,
1987-07-31,Increased traffic volume expected from ongoing construction and operational workforce activity; proposal made for new freeway construction.,
1987-08-31,DoD mail uses surface/air transport. US traffic management efforts initiated. Increasing traffic volume observed at Cumberland Gap.,"Hazardous waste incident occurred in Maryland on August 27, 1987."
1987-09-30,High vehicular traffic volume on The Esplanade in Lakes Entrance.,"Traffic operations, truck size, and weight restrictions in the US due to Mediterranean fruit fly infestations."
1987-10-31,"Daily summer traffic at Rathtrevor Beach Provincial Park is 13,000-14,000 vehicles/day. Tourist traffic significantly impacts overall traffic in Australia, increasing congestion in peak seasons.",
1987-11-30,Snowfall caused issues on low-volume highways. High traffic volumes and congestion expected during peak hours. Context includes traffic simulation models and road characteristics.,
1987-12-31,"US traffic volume and travel were a concern, with discussions on operations and regulations. USAID reported on present traffic volumes, and military police provided traffic control.",
1988-01-31,Adoption of the African Growth and Opportunities Act; NHTSA investigating an automaker; expected long-term growth in urban traffic levels.,
1988-02-29,"Sustained U.S. economic growth since November 1982. Estero Area streets are inefficient for high traffic volume, including tourist traffic.",
1988-03-31,Traffic flow standards (level of service B) and strategies to optimize traffic flow. High traffic levels on the A1 road in the UK. Potential for increased congestion on private roads due to new developments.,
1988-04-30,"Existing traffic management guidelines (California State Traffic Manual, Manual on Uniform Traffic Control Devices, FAA airport guidelines). New Jersey faces high traffic volume with low gas taxes. Most US/world roads are unsurfaced, facing increasing pressure.",
1988-05-31,High air traffic volume affecting Southern California traffic patterns. Existing US and international traffic and transportation regulations.,
1988-06-30,"34% of Chicago vehicles uninsured. Traffic volume and road capacity are crucial for transportation planning, with measurable daily volumes on specific roads.",
1988-07-31,Daily commuter influx in Morristown causes regular traffic and parking problems.,
1988-08-31,Rural interstate traffic volumes fluctuated; Caltrans planned road widening and barrier improvements due to traffic concerns.,1988 drought caused reduced barge traffic due to low water levels.
1988-09-30,US DOT funded projects in high-traffic areas; local authorities considering traffic management measures.,
1988-10-31,Significant volume of illicit steroid trafficking across the U.S.-Mexico border was reported as a factual dynamic in 1988.,
1988-11-30,"Alaska Policy on Railroad/Highway Crossings revised on Nov 8, 1988, including standard procedures for low highway volume areas.",
1988-12-31,"Factors influencing traffic volume, such as travel demand and road conditions, are considered in highway projects. Ongoing efforts analyze and optimize traffic flow and safety, with NTSB and FAA ensuring transportation safety.",
1989-01-31,Ongoing efforts to maintain highway safety and infrastructure; Roads and Traffic Authority's responsibilities for road network and safety; increased highway traffic volume and lower average vehicle occupancy reported.,Highway closed due to pileup near Urbana caused by fog.
1989-02-28,US NHTSA increased scrutiny on automotive companies; high traffic volumes at major New Jersey toll plazas; observed variations in Interstate H-2 traffic patterns.,
1989-03-31,State DOT weighing speed limit changes in U. Sacon.,"Port of Valdez closed to all traffic on March 24, 1989, due to Exxon Valdez oil spill."
1989-04-30,"Ongoing studies on traffic control devices, road design, and crash analysis; high traffic volume observed from Brooklyn/Queens into Manhattan.","Highway accident on March 28 required on-scene investigation and traffic control; air traffic controllers balked at job relocation, potentially disrupting air travel."
1989-05-31,"Wisconsin State Patrol duties (traffic control, truck regulation); high traffic volume in Tucson; IVHS technologies expected to change transportation system; local traffic affected by Post Office parking.",
1989-06-30,Traffic volume and truck volume are key considerations in transportation planning and pavement design. US NHTSA activity related to demanding volumes.,
1989-07-31,"Annual summer traffic influx on the Eastern Shore; local Maryland studies assessed traffic zones, volume, and accident rates; factual data on international flights and USAID project consideration of Beira traffic.",Anticipated traffic volume did not materialize in early July due to unspecified factors.
1989-08-31,Sikorsky Memorial Airport is the busiest in the state; traffic and transportation continue as a concern with potential volume increases; planners analyze data to improve service.,Potential disruptions to air travel due to air traffic control issues.
1989-09-30,NHTSA pushing for increased traffic safety and congestion reduction efforts; ongoing challenges with high traffic volumes (Two-Axes Problem) and continuous efforts to improve highway design standards and operations.,
1989-10-31,Street design guidelines and volume-delay function concepts for traffic management; ongoing road maintenance; highway traffic safety efforts.,"Loma Prieta earthquake (Oct 17, 1989) limited East Bay access to emergency traffic."
1989-11-30,"RTA NSW had 1988-89 budget, 3.7M vehicles, 3.4M drivers; ongoing traffic management and road safety efforts. Lundberg association publishes travel data; continued efforts to improve road infrastructure and optimize ferry pricing. Current traffic volumes and movements observed. Bureau of Transportation Statistics collects airline travel data.",
1989-12-31,"Saturday traffic exceeds weekday rush-hour in some areas; increasing traffic volume, congestion, and delay are major concerns; traffic volume impacts airline hubs; 1980s saw increased Ventura Freeway traffic.",
1990-01-31,US implemented marketable pollution permits; 76 US cities used Dynamic Message Signs for travel times as of 1990; traffic volume and type influence site accessibility.,
1990-02-28,Paved shoulder requirements on Interstate routes are an engineering determination based on traffic volume.,"Exxon Valdez oil spill (Feb 15, 1990) affected tourism, wildlife, and traffic separation schemes."
1990-03-31,U.S. National Highway Traffic Safety Administration demanded information related to traffic safety. Volume and speed of traffic were significant factors affecting children's travel in neighborhoods as of 1990.,
1990-04-30,Existing guidelines for street lights and U.S.C. regulations; deteriorating air quality and increased pollution in NYC areas with heavy traffic.,Ban on international air travel in Serbia and Montenegro caused 1990's lowest traffic volume.
1990-05-31,"Known relationships between vehicle volume, travel time, and traffic management. Benefits of alternative transport. Expected emphasis on traffic management and flow in projects.","US NHTSA demanded information from auto industry, potentially signaling new regulations or initiatives."
1990-06-30,"US air transportation affected by airfield delays; intermodal traffic volume grew dramatically; Dallas tollway averaged 182,836 vehicles/day.",City Turnpike's opening date moved ahead.
1990-07-31,Regulation of driving licence testing; 1988 estimate of $16-24B for bridge rehabilitation; Jefferson County plan to reduce traffic.,"Traffic accident reported; Americans with Disabilities Act of 1990 enacted on July 26, 1990."
1990-08-31,"Ongoing emphasis on traffic management and planning; traffic volume identified as a key factor; continued studies on traffic flow, counts, and signal warrants to optimize flow and reduce congestion.",
1990-09-30,Discussion of tourist traffic volume and Caltrans reporting daily freeway traffic counts. US has state-of-the-art air traffic control and NHTSA demands state information.,
1990-10-31,"Oregon code mentioned highway travel and traffic flow; USDOT published reports on transit and parking, highlighting alternative transportation methods.",NHTSA demanded documents from auto manufacturers.
1990-11-30,Annual traffic volume and congestion increasing. Government allocated funds for travel and transportation expenses. Continued development and testing of maglev transportation systems. Increase in seaborne petroleum traffic and overall traffic volume.,
1990-12-31,"Traffic volumes considered in PA planning code; high westbound traffic on 3rd Street in Oak Grove; light traffic on Illinois expressways on Dec 27, 1990, likely due to holidays; continued traffic volume growth expected.",
1991-01-31,L.A.'s Westside intersections saw a significant increase in traffic volume; air travel volume was not seriously affected.,
1991-02-28,"US Coast Guard involved in air traffic control; volume of transport sales between Member States affects trade; EPA published guidance manual on controlling slug loading to POTWs on Feb 15, 1991.",
1991-03-31,"Heavy traffic volumes on multilane roads, likely influenced by the recent end of Operations Desert Storm. Standard traffic management and safety considerations in urban planning.",
1991-04-30,VDOT's Bicycle Policy Plan to promote bicycle travel; Chernobyl radiological consequences affected traffic and surface run-off.,1991 Mount Pinatubo eruption caused significant disruptions to air travel.
1991-05-31,Mercer v. Department of Motor Vehicles case on traffic laws; WSDOT conducted a traffic forecasting study; ongoing traffic congestion in Hawaii due to tourism.,
1991-06-30,Need to reduce national park traffic for wildlife protection; 1980 Delaware traffic volume recorded; Czech National Council passed act on road safety and highway traffic flow.,
1991-07-31,Traffic and transportation functioned normally with no major disruptions in the first week of July 1991.,
1991-08-31,"Air traffic volume increased 25% since 1980. Cherry Creek Shopping Center reopening expected to increase local traffic. 1991 traffic growth was less than 2%, with slow growth expected due to infrastructure.",
1991-09-30,"Ongoing efforts to refine transportation planning models and implement traffic regulations. Continued impact of natural obstacles on infrastructure. Urban freeways generating traffic and congestion. Discussions and regulations related to traffic management and safety, including travel orders and restrictions.",
1991-10-31,"Traffic volume quantified by departures; management focuses on optimizing these processes. NHTSA is the primary traffic safety data source. Traffic planning considers volume, speed, lot size, and house location.",
1991-11-30,City of Newport's comprehensive plan (1990-2010) for highways and transportation infrastructure is being implemented and refined.,
1991-12-31,"Facts on average daily traffic volumes and US road system composition; ongoing US surface transportation program for traffic flow improvement; NHTSA demanding information, suggesting increased scrutiny.",
1992-01-31,"Vehicular traffic volume doubled over 10 years, threatening safety. Road marking lifespan depends on traffic volume. 1992 saw reporting of flight/traffic activity, development of traffic signal systems, and a USDOT bridge project.",
1992-02-29,Accident reconstruction efforts impacting traffic volume; Zoning ordinance requires peak hourly traffic volume estimates.,
1992-03-31,"Facts on US transportation income, freight broker market share (28%), ongoing US projects (pavement, truck safety), USDOT commuter traffic management, and Philippine urban development policy.",
