end_date,intrinsic,trigger
2001-06-30,"President Bush declared a disaster in South Dakota on May 31, 2001.",COVID-19 pandemic declared an official disaster in the US in 2001.
2001-07-31,"Ongoing disaster mitigation and emergency preparedness efforts, including NTHMP subcommittee work and US response frameworks.","Major flood on July 8, 2001; jet crash in Russia on July 4, 2001; Peruvian earthquake on June 24, 2001."
2001-08-31,The United States Department of Agriculture (USDA) plays a role in emergency management and disaster response.,
2001-09-30,US history of natural hazards and federal disaster response since 1803; emergency declarations not linked to causing disasters.,
2001-10-31,,"Ongoing impact and reporting of 9/11 attacks on World Trade Center; Hurricane Iris affected the Caribbean region, impacting countries like Belize."
2001-11-30,Ongoing functions of FEMA and U.S. Army Corps of Engineers for disaster aid and risk reduction. Existing U.S. policies for military use in civil emergencies. Development of NYC's Office of Emergency Management and increased emphasis on robust systems.,"Reference to the September 11, 2001 World Trade Center attack as a cause for changes in emergency management."
2001-12-31,"Existing standards for emergency operations planning (Joint Commission); US government emergency management plans (FEMA, ODPEM); US OFDA active in Sudan for emergency needs.",President declared a flood as a disaster in 2001; FEMA funded Hawaii disaster response; US provided disaster aid to Micronesia and Guinea.
2002-01-31,Establishment of Citizen Corps for emergency response; ongoing federal disaster management and relief efforts; existing key disaster relief laws; lessons from past events informing emergency planning.,
2002-02-28,"Factual information on the Stafford Act's provisions for disaster declarations and assistance, FEMA's categorization of disasters, and general trends in disaster response and preparedness.",
2002-03-31,Federal laws like the Stafford Act provide disaster relief and prohibit discrimination. FEMA's ongoing humanitarian aid in Sudan addresses war and drought-related disasters.,
2002-04-30,"US government emergency assistance programs and Florida's disaster management plan are in place, with ongoing efforts for preparedness and response.",
2002-05-31,"Michigan Emergency Management Assistance Compact (MEMAC) implemented on May 1, 2002, to facilitate state or federal disaster funds.",
2002-06-30,"Severe drought in US, Arizona declared disaster area in May 2002, with worsening conditions. UN and US government prioritize ongoing emergency preparedness and disaster response, including aid for past volcano eruption.",
2002-07-31,"Existing emergency response plans and agencies (SERP, SEOC, FEMA, CDERA) are active; US government provided emergency food aid to southern Africa.",
2002-08-31,The Robert T. Stafford Disaster Relief and Emergency Assistance Act defines disaster or emergency.,"The Model State Emergency Health Powers Act was established in 2002 to plan for and respond to public health emergencies, including natural disasters."
2002-09-30,Legislature recognizes schools' role in emergencies; US government maintains disaster response plans and focuses on preparedness.,"Worst tornado outbreak in Indiana on Sept 20, 2002; earthquake in Papua New Guinea on Sept 21, 2002."
2002-10-31,"US disaster management laws, regulations, and government response systems (USDA, OFDA, Army Corps of Engineers) are in place for emergencies and relief efforts.",
2002-11-30,"Established disaster relief legislation (1950 Act), government agencies (FEMA), and resources for emergency response, recovery, and crisis communication are in place, with ongoing focus on preparedness.",
2002-12-31,"US government disaster response laws (Homeland Security Act 2002), agencies (FEMA), and programs (National Flood Insurance Program) are active. New York disaster outreach program created; Sudan state of emergency extended.",
2003-01-31,"Governmental frameworks and initiatives for disaster and emergency response were active, including the Stafford Act and new 2003 programs.",
2003-02-28,FEMA and American Red Cross continued their roles in disaster response.,US government agencies responded to the Columbia Shuttle Disaster in February 2003. USDA declared disasters in Sudan.
2003-03-31,"US government plans and systems for emergency and disaster response; state laws (Illinois, Texas) for disaster action and governor's emergency powers; federal flood hazard expenditure.",
2003-04-30,Government responsibility for emergency preparedness and response; sociological study of disasters and emergency management; U.S. Army Corps of Engineers raising dam height to reduce flood risk.,
2003-05-31,US government developed emergency management plans; floods are common natural disasters.,"Severe weather events, including tornadoes in Oklahoma City (May 8) and other areas (May 10); state of emergency and federal disaster area declared due to global hazards."
2003-06-30,"US government has laws, regulations (Public Law 108-25), and agencies (FEMA, OSHA) for disaster response and emergency management. The US is vulnerable to natural disasters like hurricanes.",
2003-07-31,Ongoing focus on emergency disaster plans and relief efforts; established WHO/PAHO guidelines for disaster response; and awareness of significant global disaster risk.,
2003-08-31,"Existing US government and IMF mechanisms for emergency response, disaster assistance, and preparedness, including ongoing efforts to review and improve frameworks.",
2003-09-30,"Definitions of emergency and disaster; US government agencies (FEMA, OFDA) and programs for disaster response and preparedness; recommendations for emergency supplies and flood risk management; general challenges and shift to proactive disaster management.",
2003-10-31,US government and FEMA provide disaster relief funding and assistance as established policy.,"Ongoing disasters (e.g., hurricanes, terrorist threats) lead to increased need for emergency funding and continued relief efforts."
2003-11-30,"Ongoing disaster preparedness and response efforts by US government agencies (FEMA, DHS, Army Corps of Engineers). Continued focus on mitigating impacts of recent disasters and preparing for future events.",
2003-12-31,"Ongoing federal efforts to establish homeland security organizations, develop emergency response plans, and provide guidelines for disaster management and staff training.","Floods in Santa Fe Province (Argentina) and Haiti, an earthquake, and a disaster in Paso Robles (California) occurred in December 2003."
2004-01-31,"Federal Stafford Act provides disaster assistance; Hawaii has an Emergency Alert System plan; Disaster management phases (Mitigation, Preparedness, Response, Recovery) are recognized; Focus on children's unique disaster needs and improving overall preparedness.",
2004-02-29,US policies for agriculture/food protection and FEMA guidelines for community shelters; Regional Emergency Operations Center coordinates disaster events; Report on 2003 DREF allocation for Sudan floods.,"California declared a State of Emergency due to fires on Feb 13, 2004."
2004-03-31,"US government agencies (FEMA) dedicated to emergency management; Stillwater, NY prepared an emergency plan; US experiences frequent natural disasters and floods.",
2004-04-30,"FEMA funding for pre-disaster hazard mitigation; existing US government disaster management agencies, programs, and guidelines for dam safety and emergency planning.",USAID deployed staff to Sudan to assess a humanitarian emergency situation.
2004-05-31,"US government's ongoing disaster preparedness and response efforts, including USAID's humanitarian aid in Sudan and Darfur.",U.S. government declared national disaster areas in Hawaii and other locations due to severe weather outbreaks.
2004-06-30,US provided humanitarian aid to Sudan and Darfur. US has comprehensive programs and systems for disaster response and federal function continuity.,"Flood disaster in Hispaniola caused over 1,000 deaths, 1,600 missing, and 25,000 needing food aid."
2004-07-31,EPA contracted for a report on climate and disaster issues; US has existing disaster response regulations and policies; disaster risk reduction and emergency management are ongoing priorities.,"City of Fort Worth declared a state of disaster and public health emergency on July 20, 2004."
2004-08-31,"US government has laws for disaster relief and emergency management. Communities like Bossier Parish are subject to disasters, with ongoing focus on preparedness and response.",
2004-09-30,"Existing US disaster management frameworks (National Disaster Medical System, Stafford Act, California mutual aid) and ongoing efforts to refine preparedness plans; USAID provided $100,000 for Grenada relief.","Hurricane Jeanne forecasted to affect the United States on September 24, 2004."
2004-10-31,"Ongoing US disaster response and emergency preparedness programs, including government resources and university initiatives.",US announced $2 million in disaster relief assistance for Haiti.
2004-11-30,General awareness of disaster impact and importance of emergency preparedness; 9-1-1 is the official emergency number in US/Canada.,
2004-12-31,FEMA involved in disaster assistance in South Carolina; US provides emergency assistance for disasters; US emergency management system covers five phases; continued disaster response predicted.,
2005-01-31,"US government disaster aid ($500M), agencies (NDMS, Army Corps, FEMA) and emergency plans in place; Hyogo Framework for Action adopted.",
2005-02-28,"Established mechanisms for disaster response by FEMA, IMF, UN, and USAID; general prediction of increased climate-related disasters and focus on emergency assistance.",
2005-03-31,"US agencies provide disaster assistance, with ongoing relief efforts and increased focus on preparedness stemming from past events like Hurricane Ivan.",
2005-04-30,"{""intrinsic"": """", ""trigger"": """"}",
2005-05-31,"General US disaster facts, FEMA/DHS involvement in response. High likelihood of summer disasters. Ongoing disaster preparedness and emergency response efforts. A state of disaster emergency continues.",
2005-06-30,"Ongoing US government disaster response and preparedness efforts, informed by past 2004 disasters and future predictions.",
2005-07-31,"Ongoing natural hazards, government emergency preparedness, and FEMA's NIMS compliance and National Flood Insurance Program. Expected seasonal emergencies like hurricanes and wildfires.",
2005-08-31,"US federal laws (Stafford Act), agencies (FEMA), and systems (ESF, NIMS) for disaster relief and emergency management are in place.",
2005-09-30,"Factual dynamics of disaster management, including FEMA's role, disaster recovery planning, emergency declarations, and state/federal preparedness systems.",
2005-10-31,"Ongoing national focus on disaster response and emergency preparedness, including federal agency roles (FEMA), in the aftermath of Hurricane Katrina.",
2005-11-30,US emergency management plans and regulations in place; government declared major disasters for Hurricane Katrina impacts.,Deadliest tornado since 1999 occurred in Evansville on November 6.
2005-12-31,US emergency management programs and international disaster response efforts are active. There's an increased focus on preparedness and adaptation due to past major disasters like Hurricane Katrina and anticipated climate-related challenges.,
2006-01-31,"Ongoing disaster preparedness and response, including congressional investigation into Hurricane Katrina's federal response and general emergency capability issues.",
2006-02-28,"General disaster preparedness and response efforts by US agencies, including FEMA and the National Response Plan, are ongoing.",
2006-03-31,"Factual information on US disaster assistance (FEMA, Red Cross, Stafford Act), commonality of floods, and EMS Compact enactment in 21 states.",
2006-04-30,"Ongoing disaster preparedness efforts, federal response mechanisms (Stafford Act, NDMS), and lessons from past major hurricanes (Katrina, Rita) are noted.",
2006-05-31,Ongoing efforts by San José Office of Emergency Management; general facts on US 'bottom-up' emergency response and FEMA declarations.,Major disaster declared in Florida (Broward County) for April 12-14 weather events.
2006-06-30,"Ongoing disaster preparedness, emergency response, and assessment of evacuation plans. Continued focus on disaster legislation and policy, addressing gaps in emergency care.","Retrospective acknowledgment of Hurricane Katrina as the deadliest and costliest U.S. natural disaster, indicating ongoing impact and discussion."
2006-07-31,"US Army Corps of Engineers authorized for emergency management; Navy Family Accountability and Assessment System (NFAAS) for tracking during emergencies; Floods are common natural disasters, often not covered by homeowners' insurance.",
2006-08-31,US government has emergency acquisition flexibilities and a history of disaster management. The Pandemic and All-Hazards Preparedness Act aims to improve public health emergency response.,
2006-09-30,"Existing laws (Stafford Act), federal aid (Presidential Declaration, NFIP), and agencies (FEMA, DMORTs) for disaster relief and emergency preparedness are in place. GPS technology aids emergency response. Climate-related disasters are expected to continue.",
2006-10-31,"FEMA's role in disaster relief and emergency management, Stafford Act providing $1.5B for disaster relief, rapid growth in ED patient visits in 2006, National Response Plan and DHS roles in disaster response, government resources for disaster relief, and predictions for continued climate-related disaster threats and evolving relief efforts.",
2006-11-30,Enactment of Pennsylvania Price Gouging Act; ongoing US government emphasis on emergency preparedness and existing management plans.,Largest US blackout in 2006.
2006-12-31,"US government established disaster response guidelines, protocols, and agencies (FEMA, NDMS, CDC); federal aid for disaster-damaged roads; government-supported EMS research.",
2007-01-31,"Ongoing government involvement in national security emergency/disaster response; discussions on preparedness, existing relief laws, and evolving management strategies.",
2007-02-28,"US experiences high frequency of tornadoes and costly floods, leading to significant economic damages. Government has emergency management systems; continued investment and response to weather-related disasters expected. Long-term increase in disaster severity due to climate change; short-term continued flood risks.",
2007-03-31,"Ongoing focus on natural and man-made disaster management, emergency assistance, and preparedness, with FEMA coordinating response efforts.",
2007-04-30,"FEMA's mission and US disaster response hierarchy; ongoing focus on disaster planning, risk communication, and emergency management; short-term forecast of continued disaster events.",
2007-05-31,"Ongoing efforts to improve disaster management and emergency response capabilities, including existing systems, policies, and preparedness initiatives.",
2007-06-30,"Ongoing emergency and disaster preparedness efforts by organizations and US government, with continued focus on mitigation and response to natural disasters.",
2007-07-31,"Ongoing disaster response and preparedness efforts by organizations, established emergency communication systems, and relief fund operations for Sudan floods.",
2007-08-31,"Ongoing FEMA disaster preparedness encouragement, US government disaster funding, and roles of FEMA/DCE/health sector in response. Illinois achieved emergency management re-accreditation.","I-35W bridge collapse on August 1, 2007."
2007-09-30,"Ongoing disaster preparedness, response, and mitigation efforts by agencies like Red Cross, FEMA, and Army Corps of Engineers. Acknowledgment of pervasive flooding and historical costly weather-related disasters in the US.",
2007-10-31,"Continued efforts in disaster preparedness and response, supported by existing legislation like the Stafford Act, and informed by past severe natural disasters.",
2007-11-30,"CalEPA's NIMS compliance for emergency preparedness; US official guidelines and regulations for disaster response, including the Stafford Act.",
2007-12-31,Existing legal framework for disaster relief; 2007 disasters including a tornado and ice storm; ongoing importance of preparedness; predictions of increasing climate-related disasters.,
2008-01-31,"Information on US emergency preparedness, Stafford Act, NIMS, ICS, and disaster response agencies like FEMA.",
2008-02-29,"Existing federal disaster assistance frameworks (Stafford Act, NRF, FEMA). EMAC established in 2008; OSHA published 'Katrina Booklet' on disaster hazards.",Super Tuesday Tornado Outbreak affected southeastern U.S. in February 2008.
2008-03-31,"US government emphasizes societal resilience, disaster preparedness, and emergency response, supported by existing laws (Stafford Act) and policies. Professional groups develop disaster care guidance; ongoing preparedness for hurricane season.",National Guard mobilized for an unprecedented domestic emergency in response to a disaster.
2008-04-30,"Ongoing disaster preparedness efforts, including FEMA's contingency planning for seismic zones and general emphasis on emergency response informed by past events like Hurricane Katrina. US Army Corps of Engineers provides disaster response information.",Information surfaced in April 2008 about significant flooding and disaster declarations expected in several US states in June 2008.
2008-05-31,"Ongoing disaster preparedness, response, and relief efforts by government agencies and organizations like the American Red Cross. General awareness of disaster impact on vulnerable communities.",
2008-06-30,"Factual information on US government disaster assistance programs, emergency water conservation, and state-level emergency preparedness plans (Indiana, Wisconsin, Michigan) for natural disasters, terrorist attacks, and disease outbreaks.",
2008-07-31,"Ongoing operations of US disaster agencies (FEMA, EMAC, NFIP), including preparedness guidelines for casualty scenarios and continued investment in risk management.",
2008-08-31,"Existing US government agencies (FEMA, DHS) and programs (Stafford Act) for disaster response. Ongoing efforts in preparedness, mitigation, and adaptation for climate-related disasters and hurricanes.",
2008-09-30,Army has standardized systems for personnel management during disasters. Disaster Fraud Act of 2007 enhances fraud penalties. U.S. Army Corps of Engineers prepared for disasters. Hurricane Katrina recognized as costliest U.S. disaster. Agencies expected to refine disaster response and preparedness.,
2008-10-31,"Ongoing prosecution of hurricane-related cases; existing US disaster management framework (Stafford Act, FEMA, state offices) with continued focus on emergency preparedness and disaster relief.",
2008-11-30,"US emergency management and disaster response programs (FEMA, ODP, DHS, SURE), Stafford Act federal assistance, and HIPAA waiver rules.",
2008-12-31,"Amendment of the PETS Act, activation of AADMER in 2008, and continued focus on disaster preparedness, risk reduction, and response, particularly for floods.",
2009-01-31,"Ongoing focus on disaster preparedness and emergency response, including federal declarations, Red Cross volunteer needs, and FEMA's established role, guided by legislation like the MINER Act.",
2009-02-28,Illinois Governor issued state disaster declaration for several counties; US established Disaster Assistance Emergency Fund (DAEF); American Red Cross reported urgent need for disaster relief volunteers.,
2009-03-31,"US government agencies manage disaster relief and emergency preparedness. Ongoing efforts focus on improving response and planning, with natural disasters, including flooding, expected to continue. Past events like Hurricane Katrina inform public health strategies.",
2009-04-30,US government maintains established agencies and protocols for emergency management and disaster response; ongoing prioritization and refinement of preparedness efforts.,
2009-05-31,"FEMA's role in disaster and animal relief, Institute of Medicine report on emergency care, US government's emergency preparedness resources and disaster assistance grants.",
2009-06-30,"Ongoing organized medical emergency response, established government disaster management systems, and continued preparedness focus, particularly for hurricane season.",Over one million infected persons in the US; Arkansas received $70 million US aid for disaster recovery.
2009-07-31,"US laws and processes for disaster relief and emergency management, including USDA's disaster assistance, Stafford Act, OSHA HAZWOPER, and Emergency Banking Act. Ongoing need for preparedness.",
2009-08-31,"Existing US disaster response agencies (FEMA, DHS) and programs; California law for emergency unemployment extensions; City of Norfolk's disaster planning system; General facts about US natural disasters.",
2009-09-30,"FEMA's role in emergency management and disaster planning; ongoing disaster preparedness efforts by local and federal agencies, including housing assistance for past disasters; CDC's release of antiviral drugs for the 2009 Influenza Pandemic.",
2009-10-31,"Ongoing disaster preparedness, response, and relief efforts by US agencies; EPA issued a national emergency preparedness plan.",US responding to the Sumatra earthquake.
2009-11-30,"Ongoing government functions and capabilities related to disaster preparedness, response, and risk reduction by agencies like FEMA and the US Army Corps of Engineers, governed by existing laws and regulations.",
2009-12-31,US Army Corps of Engineers' authority for disaster response; National Policy on Disaster Management; Stafford Act of 2000 for disaster relief; historical significant US ferry disasters.,
2010-01-31,US government agencies coordinate emergency responses; national emergency plans and preparedness efforts are ongoing.,"Major 7.0 magnitude earthquake struck Haiti, causing significant casualties; US government deployed emergency response teams."
2010-02-28,US disaster response framework; CDEMA launched public awareness campaign for coastal hazards; AAMC's 2003 recommendation for bioterrorism education in medical curricula; U.S. Army Corps of Engineers provides disaster assistance.,
2010-03-31,USDA FSA announced disaster and emergency declarations; federal government's ongoing disaster response and emergency management programs; statistics on flooding.,
2010-04-30,Ongoing US investment in disaster management and preparedness; New Madrid Seismic Zone experiences annual seismic activity.,"Deepwater Horizon oil spill occurred on April 20, 2010, in the Gulf of Mexico."
2010-05-31,"Factual context on US emergency management agencies, commonality of floods, and the expected onset of hurricane season.","Explosion of Deepwater Horizon oil platform on April 29, 2010, and declaration of a Regional State of Health Emergency in US Pacific Islands."
2010-06-30,"Information on the Stafford Disaster Relief and Emergency Assistance Act and US government disaster response frameworks (IMAT, ESF); Wisconsin/Nicaragua collaborated on disaster preparedness.",
2010-07-31,"Illinois Governor announced a $10M grant for a new disaster preparedness center. The US has established emergency preparedness plans for child care and public health, with ongoing efforts to refine protocols and invest in response initiatives.",
2010-08-31,Office of Emergency Management provides operational awareness; Kansas CHEMPACK Program designed for chemical disaster response.,American Red Cross has urgent need for disaster relief volunteers.
2010-09-30,"FEMA-related emergency management agencies continuously refine strategies and respond to disasters; US government has plans and resources for disaster response, including funding; increasing trend of weather/climate disasters necessitates preparedness.",
2010-10-31,"Ongoing emergency preparedness, disaster response, and relief efforts, including aid to communities, medical care, animal protection, and employee support programs.",
2010-11-30,"US government agencies (FEMA, VA, DHSES) and state/local entities have established disaster management and emergency response frameworks, including ADA considerations, temporary climate control, and preparedness training.",
2010-12-31,"Ongoing disaster preparedness and response efforts, including state coordinating officer roles, US Army Japan programs, and US government disaster recovery initiatives, reflecting a decade of increased emergencies.",
2011-01-31,"Existing legal basis for emergency management (Stafford Act); US population concentration in flood-prone areas; established federal emergency response plans, protocols, and mechanisms.",
2011-02-28,USACE provides ESF; UN emphasizes inclusive disaster management; Nevada has response resources; Wisconsin governor can declare emergencies; ongoing focus on preparedness and collaboration.,
2011-03-31,"Ongoing disaster preparedness efforts, including mental health resources, FEMA international collaboration, and health department planning.","2011 Japan Triple Disaster (earthquake, tsunami, nuclear event)."
2011-04-30,"US government disaster relief policies (Stafford Act) and resources (FEMA, HUD) are in place, with ongoing emphasis on preparedness.","Ongoing and potential disasters, including floods and tornadoes in affected states, are prompting government response."
2011-05-31,"US emergency management systems and agencies (FEMA, SEMA) are active; ongoing disaster preparedness and response efforts. Missouri is prone to natural disasters.","Active response to ongoing flood events; heightened alert for increased risk of severe weather, including potential tornadoes."
2011-06-30,Ongoing emergency response efforts; increasing climate-related disaster risks; established disaster assistance framework and warning procedures.,"Series of deadly storms and tornadoes in April 2011, making it the deadliest year in over 50 years."
2011-07-31,"Connecticut State Department of Emergency Services and Public Protection responsible for disaster response. Federal government undertakes work on ESF, FEMA issues mission assignments. US government has official disaster response websites and resources. US experienced eight presidential-declared disasters and eight national emergencies in 2011. NRC, VOAD, EMAC involved in emergency management.",
2011-08-31,"Established disaster management systems (NIMS, EAS) and common hazards (floods) were noted. Alabama's worst 2011 disaster (tornadoes) was acknowledged. Ongoing alert for tropical storms/hurricanes in southeastern US.",
2011-09-30,"National Preparedness Month; ongoing efforts in disaster preparedness, relief, and emergency management by various government agencies and organizations.",
2011-10-31,"Ongoing government focus on disaster preparedness and emergency management, supported by existing policies like the National Preparedness Goal and Stafford Act.",
2011-11-30,"FEMA conducts emergency planning exercises; US government provides disaster relief resources and frameworks, including the DMA 2000, for preparedness and response.",
2011-12-31,"Ongoing disaster response, recovery, and preparedness efforts by FEMA and US Army Corps of Engineers, with a focus on enhancing critical infrastructure resiliency and improving strategic communications.",
2012-01-31,"Ongoing efforts in disaster preparedness and emergency management (Kentucky, SCEMD), including winter storm readiness, established legislative frameworks (Stafford Act), USACE contractor reliance, and SBA disaster loan programs.",
2012-02-29,"General facts on U.S. disaster preparedness, existing government frameworks, and ongoing efforts in emergency management, including pandemic influenza preparedness. Landslides are a known hazard.",
2012-03-31,"Factual information on FEMA's role, US government disaster aid, and Red Cross emergency shelters/ADA compliance; ongoing focus on disaster preparedness influenced by 2011 catastrophic disasters.",
2012-04-30,"FEMA predicts growth in emergency management and disaster recovery sectors. Ongoing focus on disaster preparedness, inclusive strategies (UN), and existing US/state-level emergency response organizations and guides.",
2012-05-31,"Ongoing emergency management and disaster preparedness efforts by US government agencies and local entities, including training and system utilization.",
2012-06-30,"Government agencies (US Army Corps of Engineers, FEMA) and other organizations are involved in disaster assistance, emergency management, and hurricane season preparation.",
2012-07-31,"US government ongoing disaster preparedness, developing systems, and providing mental health services. Federal disaster response frameworks (FEMA authority, recovery tools, USDA loans) and Drought Monitor active.",Worsening drought conditions requiring relief and emergency kit distribution. Potential for severe weather events and Wireless Emergency Alerts.
2012-08-31,"July 2012 was the hottest month on record for the contiguous US, leading to ongoing heatwaves and wildfire risks.",Illinois declared a disaster due to an unspecified emergency situation.
2012-09-30,"US Army Corps of Engineers' role and priorities in disaster response; US government resources and national system for emergency preparedness and disaster management, including FEMA's role in declarations.",Prediction of a possible natural disaster and high alert for emergency responders in the next 1-4 weeks.
2012-10-31,"US emergency response systems and disaster management programs are in place, with ongoing preparedness and mitigation efforts.","Emergency response efforts focused on recent disasters, including Hurricane Sandy, and the ongoing hurricane season."
2012-11-30,"FEMA's disaster process, aid programs, and the roles of various US agencies (SEMA, DoD, USACE) in national emergency management and disaster relief efforts.","Ongoing response and recovery efforts for Hurricane Sandy, necessitating disaster relief funding and emergency supplemental appropriations."
2012-12-31,"FEMA declared emergency in Virginia, provided Hazard Mitigation Grant; ongoing disaster assistance and response to Hurricane Sandy.",
2013-01-31,FEMA's role in federal disaster response; American Red Cross provides community disaster education; various organizations offer emergency relief services.,
2013-02-28,Factual information on Stafford Act & FEMA's role. Ongoing US awareness events and initiatives for disaster preparedness. Local emergency management efforts. US Government's established emergency system. Multiple routine reports.,
2013-03-31,"Factual information on US disaster response frameworks, including FEMA's role, emergency relief funding, Stafford Act, and DoD's Federal Response Plan.",
2013-04-30,"Ongoing federal disaster relief (Stafford Act), public emphasis on personal preparedness, and continuous efforts in emergency response and disaster risk reduction.",
2013-05-31,"Ongoing disaster response and preparedness efforts; expectation of seasonal severe weather events (e.g., hurricanes, wildfires, tornadoes); factual context on disaster relief laws.",
2013-06-30,"Ongoing focus on disaster preparedness, emergency response, flood control, and community resilience by federal and state agencies (FEMA, Army Corps, CA OES); historical reference to Chernobyl accident.",
2013-07-31,Louisiana's authority for emergency/disaster response; USAID supports emergency food assistance in Yemen; FEMA provides resources for emergency preparedness and disaster response.,
2013-08-31,"US government agencies (FEMA, DoD, CDC) maintain resources and ongoing efforts for disaster preparedness, response, and recovery planning.",
2013-09-30,"Existing US government disaster preparedness programs and emergency response strategies (FEMA, NVOAD); ongoing development of local emergency plans; continuous natural disaster challenges and hurricane season awareness; international disaster relief collaboration.","US experienced various disaster events, including hurricanes, fires, and floods, leading to emergency declarations and responses."
2013-10-31,"Ongoing disaster response, preparedness, and system improvement; accreditation of emergency management programs; continued experience of weather-related events.",
2013-11-30,"FEMA is responsible for disaster management; emergency agencies respond and prepare for disasters, including training; US conducted disaster management exchanges with China, including joint exercises; climate-related disasters are predicted to increase.",
2013-12-31,"Existing US government, federal laws (Stafford Act), and local emergency management structures for disaster response. Ongoing preparedness efforts and seasonal expectation of increased disaster declarations.",
