end_date,intrinsic,trigger
1988-06-30,"US economy driven by entrepreneurs and small enterprises, experiencing a record boom and sustained growth. Poverty rate in 1986 was a significant issue.",
1988-07-31,"US economy in a boom, with expected continued growth driven by policies and tech; significant immigration influx in the 1980s; low US-Africa trade in 1986.",
1988-08-31,"US economy had seasonal business cycle, ~3% unemployment. Omnibus Trade Act signed Aug 23, 1988. Past growth (1983-86) influenced expenditure.",
1988-09-30,The US faced an ongoing trade deficit and concerns about illiteracy threatening its economic edge. Poisonous plants caused annual economic losses to the livestock industry. The Phillips curve concept relating unemployment and inflation was discussed.,
1988-10-31,"US-Canada Free-Trade Agreement signed; US-Philippines $962M aid agreement; ongoing changes in trade policy, protectionism, and deregulation affecting the economy.",
1988-11-30,West Germany's economy booming with falling US trade surplus; US voters concerned about economy; US facing federal budget deficit and need for productivity; Japan's 1988 economic growth expected higher than forecast.,
1988-12-31,US faced ongoing deficits and economic decline concerns; rising housing costs contributed to homelessness.,Soviet Union sought foreign grants/loans for market-oriented economy transition.
1989-01-31,"US economy experienced significant mergers, acquisitions, and leveraged buyouts in January 1989. The U.S. economy grew robustly at 3.8% in 1988, its best performance in four years.",
1989-02-28,US had significant influence on Canada's economy; 1987 US poverty rate reported based on 1988 survey; US government expressed concerns over coproduction agreements' implications for trade and economy.,
1989-03-31,"US economy's international interdependence and status as a leading competitor in 1989, focusing on business, mining, and housing development.","Exxon Valdez oil spill on March 23, 1989, causing over $300 million in economic harm to over 32,000 people."
1989-04-30,"IMF released annual World Economic Outlook report, noting productivity growth. US central bank relaxed its restrictive course, indicating potential slowdown. US economy facing challenges and significant in national decisions.",
1989-05-31,"US-Japan trade imbalance and tension, US poverty rate at 14.89%, and ongoing economic issues in the US during 1989. Social Security benefits increased 1970-1985.",
1989-06-30,US economy growing with falling unemployment (5-5.5%); strong dollar and increased exports; World Bank discussion on product demand; policy for tribal economic self-sufficiency.,
1989-07-31,FOMC noted faster foreign economic growth; US provided aid to Central America; US and Japan agreed to examine economic rigidities; US public concerned about economic threat from Japan.,
1989-08-31,Caribbean Community meeting on cooperation and economic challenges. US provided aid to Honduras. Focus on US trade relationships and current-account balance.,"Japan surpassed the US in assets, becoming the world's richest nation, signaling a major global economic shift."
1989-09-30,FDIC reported record banking/agricultural failures in Midwest; West German economy strengthened; US had strong 1988 aerospace trade balance and was predominant Pacific Basin economic power.,
1989-10-31,US economic growth driven by intellectual property; stable poverty levels with increasing wealth inequality; ongoing US concerns over Japan's trade surplus and economic competition.,
1989-11-30,"US economy grew with 200,000 new jobs/month; had a $50 billion trade surplus with Japan in 1989. US GNP was a reference point for Soviet economy.","US and industrialized nations agreed to stabilize CO2 emissions on November 7, 1989."
1989-12-31,"US government concerned about Japan/Germany economies; engaged in economic agreements and cooperation talks. Global economy growing, but US per capita income lower than Japan.",
1990-01-31,US economy showed weakest growth in 3.5 years with a worsening trade deficit; US energy economy dominated by fossil fuels; US and Russia discussed Soviet economic liberalization.,
1990-02-28,"U.S. economic expansion continued for 7 years with moderating job growth. High debt-asset ratios and a significant trade imbalance with Japan persisted. Health sector's GNP share increased, alongside a patchwork health insurance system.",
1990-03-31,East Asian economic growth activating world economy; Brazil's 1989 GDP reviewed; US economy's trade dependency; US government prioritizing economic growth for national security.,
1990-04-30,US economy faced challenges with domestic weakness; government engaged in routine economic activities and prioritized foreign markets.,International Emergency Economic Powers Act invoked; Poland-United States Business and Economic Treaty signed.
1990-05-31,US economy experiencing growth; NBER study on education and economy; ongoing interest in economic structures and competition; continued focus on structural changes and trade negotiations.,
1990-06-30,"U.S. economy experienced less growth in 1990 due to bad loans and worthless property, leading to higher interest rates and unemployment. Economic policies and banking system functions were discussed.",
1990-07-31,US foreign debt rose to $2.076 trillion; US-Japan economic tensions; official figures confirmed Soviet economic decline.,Threat of oil production disruptions by Iraq; deepening Soviet economic crisis.
1990-08-31,"US economy experienced long-term growth and was healthy in 1990, with a rise in wealthy individuals attributed to economic health and tax law changes.","Iraqi invasion on August 2, 1990, caused a sharp increase in oil prices, posing a major threat to the US economy."
1990-09-30,US economy strong with high growth rates; 31-32 million people in poverty; strong global trade and investment position.,"US economy affected by Chilean fruit industry crisis, intellectual property issues, and influenza epidemic."
1990-10-31,"Economy in steady state growth with 2% effective labor force growth; discussion of European single market and currency; U.S. economy compared to U.K.; U.S. willing to normalize Vietnam relations, with critics noting trade embargo impact.",
1990-11-30,US economy experienced a slowdown with recession warnings; US government enacted new laws and executive orders with economic implications in November 1990.,
1990-12-31,"The Immigration Act of 1990 increased skilled immigrant admissions. NBER researched time-consistent policy and inflation. The U.S. economy faced growing earnings inequality, large defense spending, and serious labor shortages. Homeownership declined from 1980-1989.",
1991-01-31,"US economy dominant; Fed policy less reliant on monetary aggregates. Inflation reported, with preliminary signs of recovery. Ongoing U.S.-Mexico Free Trade Agreement negotiations.",Pan American World Airways bankruptcy causing potential job losses. Gulf crisis influencing economic outlook.
1991-02-28,"The U.S. economy faced distress, challenges, and hardship in early 1991, continuing a weakening trend from 1990 with deteriorating labor markets. Post-Cold War, the U.S. focused on its economic interests and rebuilding the Middle East after the Gulf War.",
1991-03-31,US economy in recession since late 1990; 1990 business failures up 20%; Q1 1991 GDP shrank 1.6%.,Global economic concerns and assessment of Iraq war damage and trade embargo effects.
1991-04-30,US-Japan economic friction; Mongolian economy's admission state with US/Soviet involvement; ongoing economic impact from 1990 oil price surge; G-7 efforts to guide Soviet economy via IMF/World Bank.,
1991-05-31,"US economy had sharply slowed in 1990, with declining growth rates in US, Canada, and UK, setting a pre-existing condition for the period.","Soviet Union sought $100 billion in aid from the West in 1991, highlighting significant economic struggles and potential global economic impact."
1991-06-30,"US economic activities (foreign exchange intervention, trade agreements, debt forgiveness); US sanctions against South Africa; European Council confirms commitment to economic development.",African Economic Community established; India's economic crisis.
1991-07-31,US states show economic convergence; 1991 US economy vulnerable to environmental and commodity price fluctuations; weak dollar stimulates machinery exports; Public Law 102-73 details federal development funding.,"Increased economic activity expected between US and South Africa, suggesting normalization of relations after 1986 sanctions."
1991-08-31,US economy healthy and growing; Indian currency devalued in July 1991.,Desperate Russian economy confirmed post-Soviet dissolution; Gulf War broadly impacted the economy.
1991-09-30,Nissan sales up 24% in September; U.S. corporate sector debt buildup; NBER study on skill differentials in Canada.,"Philippines Senate rejected U.S. military base treaty, causing economic uncertainty."
1991-10-31,"US government involved in economic activities; US trade balance trended towards increased imports, decreased exports; US allocated $100M economic aid to Peru.",
1991-11-30,"US economy concerning, slipping into recession with record food stamp reliance. Engaged in free-trade negotiations and Asian economic discussions. Projected moderate growth (1.5-2.3% annually).",
1991-12-31,"US economy in recession, continuing slowdown from 1990-1991; Soviet economy in decline.","Commonwealth of Independent States (CIS) established December 21, 1991, amidst profound Soviet economic and political crisis."
1992-01-31,"Ongoing slow economic growth in OECD/US; substantial decline in US national saving rate; US economic issues, government securities market concerns; US-Korea presidential economic discussion.",
1992-02-29,"U.S. economy adapting post-Cold War, facing growth challenges; 1991 saw stagnant output, rising unemployment. Decreasing inflation/interest rates. Frequent economic sanctions cause short-term volatility.",
1992-03-31,"US economy faced issues with luxury excise tax, credit availability, and significant health-related economic impacts (diabetes, asthma); 1992 presidential election focused on economy and social issues.",Another nation's economy strengthened by privatizing government-owned hotels and businesses.
1992-04-30,US economic duress continues with rising costs and lost jobs. US considering emissions treaty; new analysis suggests lower economic costs.,"US lifted economic sanctions from Bosnia-Hercegovina, Croatia, Macedonia, and Slovenia on April 7, 1992."
1992-05-31,"US economy in early 1990s boom with infrastructure investment, $6T market size; ongoing 1990 economic reforms; increasing inequality; adapting to globalization and foreign competition.",
1992-06-30,"US faced economic problems, invoked emergency powers. Earth Summit discussed economic growth. European Council focused on world economy prosperity. OAS sanctioned Haiti.",
1992-07-31,US involved in NAFTA and North American economic integration. US trade deficit surged in July 1992; exports fell. US government promoted economic development and job creation.,Russian economy reported to be in a worse state by Yeltsin.
1992-08-31,"US economy in slow recovery from 1990-91 recession with persistent unemployment and large deficits. Expected to maintain global leadership, evolving with focus on human capital.",
1992-09-30,"Ongoing international economic cooperation and efforts to complete GATT Uruguay round. US economy shaped by immigration, healthcare policies, and efforts for reform and growth.",
1992-10-31,"Ongoing economic challenges related to government borrowing, competitiveness, low productivity, and high healthcare costs. US assisted former Soviet states in transition.","Enactment of the Energy Policy Act of 1992 on October 24, aiming to improve energy efficiency and reduce foreign oil dependence."
1992-11-30,"US economy was sluggish in 1992, a major concern in the presidential election, with noted economic growth slowdown. Some predicted a short-term upturn.",
1992-12-31,"Economic data from 1992 on trade, growth, consumption. European Council discussed economic policy and EMU. Exchange rates moved due to interest rate and growth differences. IMF report highlighted global economic weakness.",
1993-01-31,"US government provided economic assistance, tracked data, and established the National Economic Council. The Economic Report of the President 1993 was transmitted to Congress.",
1993-02-28,"US economy showed ongoing growth, driven by technology, while facing concerns over federal budget, consumer views, and the Federal Reserve's role.",
1993-03-31,US economy adjusting to the end of Soviet economic subsidies; continued rapid growth from late 1992; increased foreign ownership and control affecting the economy.,
1993-04-30,"US economic changes, discussions on socialist economy, and government-driven growth; US provided $1.6 billion aid to Russia; government speech and joint statement on economic plan.",
1993-05-31,"US economy officially reached the low point of the recession; government engaged in economic policy, trade agreements, and sanctions.",
1993-06-30,US economy experienced slow growth and high unemployment; IMF released its annual report highlighting the state of the world economy.,
1993-07-31,"Federal Reserve abandoned its policy tied to money supply in July 1993, potentially leading to economic fluctuations; continued restructuring in the auto industry.",
1993-08-31,US economy continued restructuring and growth; federal programs for immigrant integration were reduced; ceramic package industry faced precarious competitive position; research highlighted immigrant impact.,
1993-09-30,"US economy grew at 6% in early 1990s; El Paso economy experienced labor-intensive growth; Puerto Rico's economy closely integrated with US mainland; President Clinton gave a speech on Sep 14, 1993.",
1993-10-31,"US economy continued slow expansion (~2% GDP growth in Q3 1993). Fiscal deficit reached $290 billion (4.9% of GDP) in 1993, potentially increasing inflation and interest rates. Healthcare sector contributed to growth.",
1993-11-30,US banking system stability compared to Canada; US economy in recovery driven by rising exports; study estimated economic burden of depression; US involved in various economic and environmental initiatives.,
1993-12-31,US concerns about stability of strategic mineral-producing countries; diverse US industrial economy.,"North American Free Trade Agreement (NAFTA) signed on December 8, 1993."
1994-01-31,US government regulation and economic growth dynamics; ongoing geopolitical shifts; realized 1993 job growth and expected economic recovery.,Northridge earthquake caused significant property damage and projected short-term economic slowdown.
1994-02-28,IMF Annual Report 1994 published; U.S. Department of Commerce reported improved 1993 labor market.,United States government lifted 19-year trade ban on Vietnam.
1994-03-31,"US economy grew 7.5% in Q4 1993. Federal Open Market Committee (FOMC) meeting held March 22, 1994, to discuss economic and financial information.",
1994-04-30,"US economy recovering and growing, with foreign demand for travel increasing; government estimates benefits from PPE rules and public smoking ban.",
1994-05-31,"US economy was third-largest globally in 1994, experiencing a global recession with 2.5-3.0% growth. US government engaged in economic policy. Algeria's 1994 GDP was US$45 billion.",Venezuelan economy continued to experience instability due to past bank failures. Haiti faced economic hardships and unrest from declining markets for its products.
1994-06-30,New York region restored only one in seven jobs lost during recession as of June 1994. US government reiterated commitment to increasing global tourism market share in 1994.,
1994-07-31,Informal economy's significance with Hispanic women's role; US agricultural sector importance; economic liberalization's safety benefits; Bretton Woods system shattered in the 1990s; Nigeria's economic situation continued to deteriorate in 1994.,
1994-08-31,U.S. economy grew 3.7% annually in Q2 1994. Haiti embargo negatively impacted the economy. U.S. nonfarm business productivity jumped 3.0% in 1992. Government enacted economic laws and Executive Order 12924.,
1994-09-30,"US economy grew 10% from 1992 and added $4 billion to exports in 1994. US engaged in international economic, trade, and population agreements/conferences. Federal agencies provided economic data.",
1994-10-31,"US government enacted Executive Order 12930, signed bilateral investment treaties with Argentina, and passed other economy/trade-related laws in October 1994; economy focused on credit availability.",
1994-11-30,US economy created 18 million jobs in 1994; US concerned about GSP trade policy impact; World Bank estimated Chinese economy at 40% of US.,
1994-12-31,GATT panel rejected challenge to US fuel economy standards; US developed 1994 comprehensive economic strategy; IMF/OECD estimated US to have lowest G-7 budget deficit in 1995.,
1995-01-31,January 1995 US trade deficit increased to $12.2 billion; US economy showed long-term foreign control growth and a need for dramatic reform.,
1995-02-28,US economy showed steady growth; trade deficit decreased in February due to rising exports and falling imports. US government maintained focus on international competitiveness and global economic stability.,US government provided a $20 billion bailout to Mexico to aid its economic reform.
1995-03-31,"US economy expected slower growth in 1995; trade deficit was $9.1 billion in March, virtually unchanged from February.","Dollar continued to plunge in early March, raising concerns about the economic union of Mexico, Canada, and the US."
1995-04-30,"US goods and services trade deficit widened to $11.4 billion in April. US economy showed growth in 1995, while the global economy experienced a slowdown.",
1995-05-31,"US government policy and ongoing trade disputes with Japan shaped the economy. May 1995 US trade deficit was $11.4 billion; goods deficit unchanged at $16.5 billion, with increased goods exports/imports.",
1995-06-30,U.S. trade deficit increased to $11.3 billion in June 1995; Senate held hearing on Clinton's budget; government recognized telecommunications importance.,
1995-07-31,US trade deficit increased to $11.5 billion in July 1995; exports and imports decreased.,"Federal Reserve trimmed a key rate on July 7, 1995, the first cut since 1992."
1995-08-31,US economy faced stagnation and restructuring; telecommunications industry showed growing importance; international trade deficit decreased to $8.8 billion in August 1995; US provided $700M for investment in Poland.,
1995-09-30,"US economy shows growth and stability, with significant global investment. Monthly international trade deficit remained stable at $8.3 billion in September, with increased goods deficit and services surplus. Current US discount rate is 5.25%.",
1995-10-31,"US international trade deficit decreased to $8.0 billion in October; exports and imports both fell. Mexico repaid $700M loan early, signaling a growing US economy. Ongoing concerns about environmental regulations and trade impact.",Executive Order 12978 declared a national emergency to address threats to the US economy.
1995-11-30,"US economy experienced a slowdown and crisis in 1995 due to competitiveness. The monthly international trade deficit narrowed to $7.1 billion in November, with exports increasing and imports decreasing.",
1995-12-31,Realized US monthly trade deficit of $6.8 billion in December 1995; ongoing export control policies and transportation sector reforms; Republican policy on federal spending.,"Ongoing global events (Bosnian conflict, Iraq sanctions) impacting economy; peace agreement in Angola under US auspices."
1996-01-31,U.S. economy strong with low unemployment and inflation; aging population trends noted; January 1996 U.S. goods and services trade deficit increased to $10.3 billion.,
1996-02-29,U.S. economy expected to benefit from space sector investments; weak U.S. economic growth (0.9%) in Q4 1995 reported; U.S. trade deficit decreased by $1.7 billion in February 1996 due to rising exports.,
1996-03-31,"U.S. international trade deficit increased to $8.9 billion in March 1996, with exports decreasing and imports increasing. The U.S. maintained trade embargoes against Cuba and other countries.",
1996-04-30,"US economy is strong, attracting foreign investment. Congress is considering federal income tax reform. US recorded an $8.6 billion goods and services trade deficit in April 1996.",
1996-05-31,"Realized May 1996 US trade deficit increased to $10.9 billion, up $1.3 billion from April. General 1996 economic conditions included high European unemployment, rising US inequality, and disappointing growth.",
1996-06-30,U.S. international trade deficit decreased to $8.1 billion in June; U.S. participated in international economic discussions and agreements.,
1996-07-31,"U.S. international trade deficit increased to $11.7 billion in July, with exports decreasing and imports increasing.",
1996-08-31,"Monthly U.S. trade deficit decreased to $10.8 billion in August, with exports and imports both increasing.","National Gambling Impact Study Commission Act established; HIPAA enacted; increased use of US economic sanctions, including on Iran, affecting global economy."
1996-09-30,"U.S. goods and services deficit increased to $11.3 billion in September 1996, with exports decreasing and imports increasing. Economic status of U.S. households was improving.",
1996-10-31,"U.S. trade deficit decreased to $8.0 billion in October 1996, with exports increasing and imports decreasing. The Economic Espionage Act of 1996 was enacted on October 11.",
1996-11-30,"US economy was strong in 1996. November 1996 US goods and services deficit was $8.4 billion, up from October, with exports at $72.0B and imports at $80.4B.",
1996-12-31,Greenspan delivered a speech on central banking; U.S. signed a Bilateral Investment Treaty with Trinidad and Tobago; U.S. trade deficit increased in December due to decreased exports and increased imports.,
1997-01-31,"US international trade deficit increased to $12.7 billion in January 1997, up $2.2 billion from December 1996. Mexico repaid loan early 1997.",
1997-02-28,"US economy in sustained expansion with strong growth, increasing employment, and declining unemployment/welfare rolls.",
1997-03-31,"US trade deficit with Mexico increased, leading to job losses. Long-term decline in US middle class and slowing productivity growth noted. March US goods and services deficit decreased to $8.5 billion; exports and imports rose.",
1997-04-30,"U.S. international trade deficit widened to $8.4 billion in April 1997, up $0.6 billion from March, driven by increased imports and exports.",
1997-05-31,"US economy slowdown; Ecuador Bilateral Investment Treaty signed; IMF Southern Africa Economic Summit held; US trade deficit increased to $10.2 billion, exports decreased, imports increased.",
1997-06-30,"US Q1 1997 GDP reported on June 27; June 1997 US trade deficit decreased, exports rose, imports fell; US CPI used monthly; Asia fastest growing economic region; China expected to surpass US economy in ~20 years (as of 1997).",
1997-07-31,"July 1997 goods and services deficit widened to $10.3 billion; exports decreased, imports increased. Context includes 1996 budget plan, historical GDP trends, and expected global economic growth.",
1997-08-31,"US economy showed steady, low-inflationary growth, driven by productivity and strong labor market. Monthly trade deficit was $10.4 billion. Fed Chairman Greenspan noted unusual activity.",Thai economic crisis led to IMF approving a $3.9 billion stand-by credit for Thailand.
1997-09-30,"US economy showed sustained growth and competitiveness, but also rising unemployment; government concerned about Japan's economic weakness; NAFTA's job impact discussed.",
1997-10-31,"U.S. trade deficit decreased by $1.5 billion to $9.7 billion in October 1997; exports increased by $1.9 billion, imports by $0.3 billion.",
1997-11-30,"US economy strong in October, stock market rallied; BLS projected moderate long-term growth; November US trade deficit decreased to $8.0 billion.",US imposed new economic sanctions against Sudan.
1997-12-31,"US government published employment projections for 1996-2006, predicting short-term growth. US trade deficit increased to $10.8 billion in December 1997; exports grew slower than imports.","Kyoto Protocol adopted on December 11, 1997. The 1997 Asian financial crisis continued to affect global economies."
1998-01-31,U.S. international trade deficit increased to $12.0 billion in January 1998; exports and imports decreased.,Ongoing Asian crisis caused continued economic volatility and uncertainty.
1998-02-28,U.S. international trade deficit increased to $12.1 billion in February 1998; U.S. economy expanded at a solid pace in 1997 with 3.8% GDP growth.,Asian financial crisis of 1997-98 may have long-term implications for the U.S. economy.
1998-03-31,"US economy showed robust growth, strong consumer spending, and high confidence in late 1990s. March 1998 trade deficit was $13.0B, with goods deficit increasing $1.7B from February.","US imposed sanctions on Burma in 1998, harming American economic interests."
1998-04-30,"U.S. economy in 1998 showed strong growth and seven years of expansion, with ongoing policy initiatives. The international trade deficit increased to $14.5 billion in April 1998, with exports and imports both decreasing.",
1998-05-31,Federal Reserve reported US GDP little changed; economy expected to stabilize. General US economic characteristics and historical cost data.,
1998-06-30,US international trade deficit decreased to $14.2 billion in June 1998; exports and imports also decreased. US and China to cooperate on economic reform program. US maintains economic sanctions; economy may experience slowdown.,
1998-07-31,"U.S. international trade deficit increased to $13.9 billion in July 1998; exports and imports decreased; goods deficit increased, services surplus increased.",
1998-08-31,"US August 1998 international trade deficit was $16.8 billion, with the goods deficit increasing from July.","Potential Federal Reserve measures considered to address economic distress, with uncertain actions."
1998-09-30,"US economy robust and expanding, with healthy growth in California. September 1998 goods and services deficit decreased to $14.0 billion, expected to narrow further.",
1998-10-31,"October 1998 US trade deficit was $14.2 billion (goods deficit $20.6B, services surplus $6.4B); goods deficit decreased from September. US continues to run substantial trade deficits.",
1998-11-30,"Factual reports on US labor market trends, economic characteristics and projections, and the international trade deficit increasing to $15.5 billion in November 1998.",
1998-12-31,"US international trade deficit decreased to $13.8 billion in December 1998 due to lower imports and exports; ongoing discussions on antitrust, environment, wage inequality; IMF senior staff appointments.",
1999-01-31,"US economy showed strong growth in 1998, with falling unemployment and rising hourly earnings. January 1999 US trade deficit widened to $17.0 billion due to decreased exports and increased imports.",
1999-02-28,U.S. international trade deficit increased to $19.4 billion in February 1999; economy expected to continue growth with low inflation and further widening trade deficit.,
1999-03-31,"Federal Reserve monetary policy has a 1-2 year delay in affecting real output. U.S. economy projected for continued growth. New CPI estimator expected to lower inflation by 0.2%. March 1999 trade deficit was $19.7 billion, up $0.6 billion from February.",
1999-04-30,"US April international trade deficit was $18.9 billion, with exports at $78.0 billion and imports at $97.0 billion. US workweek declined in 1998 but aggregate hours rose. Computer ownership increased in the 1990s. China's state-owned enterprises faced declining competitiveness.",
1999-05-31,"US goods and services deficit widened to $21.3 billion in May 1999; ongoing economic changes, labor trends, and health-related economic burdens in the US.",
1999-06-30,"U.S. goods and services trade deficit increased to $24.6 billion in June, up $3.5 billion from May, with rising exports and imports. Overall U.S. economic growth continued, with service worker employment projections on target.",
1999-07-31,U.S. economy experienced sustained growth and expansion; monthly goods and services deficit increased to $25.2 billion in July 1999.,
1999-08-31,US economy had strong growth and subdued inflation; personal savings rate plummeted; August trade deficit decreased to $24.1 billion from $24.9 billion in July.,
1999-09-30,"US trade deficit increased to $24.4 billion in September 1999, driven by decreased exports and increased imports. US economy showed a growth trend.",
1999-10-31,"U.S. trade deficit increased by $1.8 billion to $25.9 billion in October 1999. The U.S. economy was growing in 1999, facing long-term challenges like poverty and potential pandemic impact.",
1999-11-30,November 1999 US trade deficit increased to $26.5 billion; ongoing concerns and preparations for Y2K bug; US economy showed growth and was a leading global trader.,
1999-12-31,December 1999 U.S. goods and services deficit decreased to $25.5 billion; November unemployment rate was 4.1%; economy experienced growth and a low-wage labor market sector.,
2000-01-31,"US economy maintained strong expansion; finance pay rose 7.4%. Trade deficit widened to $28.0B in January 2000, with decreased exports and increased imports.",
2000-02-29,"US economy maintained strong growth, robust labor demand, and low unemployment. International trade deficit increased in February 2000 due to decreased exports and increased imports.",
2000-03-31,"US economy experienced record growth in 2000; West Virginia reported highest unemployment in March. US trade deficit reached a record high, increasing to $30.2 billion for the month with rising exports and imports.",
2000-04-30,"US economy grew rapidly in April 2000, with demand exceeding sustainable pace. Goods and services deficit was $30.4 billion, a slight decrease from March.",
2000-05-31,"US economy strong with low GDP growth; April unemployment rate 3.9%; May trade deficit increased to $31.0 billion due to decreased exports and increased imports, indicating ongoing economic performance and challenges.",
2000-06-30,"US economic expansion continued with strong labor productivity, especially in computer factories. Asian economies recovered. June's goods and services deficit increased to $30.6 billion, with rising exports and imports. BLS reported labor data.",
2000-07-31,"US economy continued strong growth, low unemployment, and stable inflation; however, saving rates fell, and income inequality rose. The international trade deficit increased to $31.9 billion in July 2000.",
2000-08-31,"The US economy continued its growth trajectory, with the international trade deficit decreasing by $2.3 billion in August 2000, driven by increased exports and imports. General economic stability and productivity gains were expected.",
2000-09-30,"U.S. international trade deficit increased to $34.3 billion in September 2000, with exports decreasing and imports increasing.",U.S. and other major economies pumped billions into foreign exchange markets in September 2000 to stabilize the global economy.
2000-10-31,US economy had a large surplus in 2000; October 2000 saw a decrease in the international trade deficit with falling exports and imports; computer PPI fell in 1999.,
2000-11-30,"U.S. economy continued expansion with job growth, low unemployment, and increased trade activity. The international trade deficit decreased to $33.0 billion in November 2000.",
2000-12-31,"Strong US economy in 2000 (6.5% GDP growth), low welfare rolls, and high computer industry productivity. December trade deficit was $33.0 billion, slightly down from November.",
2001-01-31,"January 2001 U.S. trade deficit was $33.3 billion, up $0.1 billion from December 2000; exports and imports of goods increased. Projected real GDP growth for 2001-2002 at 3.2% per year, slower than potential output.",
2001-02-28,"US economy's global role and ongoing carbon tax debate. January unemployment rate rose to 6.0%. US economy decelerated sharply since mid-2000, continuing slow growth. US international trade balance deficit decreased by $6.3 billion in February 2001.",
2001-03-31,US economy experienced a slowdown in growth and its international trade deficit increased to $31.2 billion in March 2001. The US government was developing economic relations with South Korea.,
2001-04-30,"US economy continued its slowdown, with a pronounced slowdown observed in 2001. Manufacturing job decline and growing trade deficit continued. US trade deficit decreased in April as exports and imports declined.",
2001-05-31,"U.S. economy expected to experience slow to moderate growth; potential tax cuts to stimulate. May 2001 U.S. trade deficit decreased to $28.3 billion, with increased exports and decreased imports.",
2001-06-30,U.S. international trade deficit increased to $29.4 billion in June 2001; development aid reached post-WWII low share of economy; historical strong economic growth in late 1990s.,"Economic Growth and Tax Relief Reconciliation Act enacted on June 7, 2001, aiming for tax relief and economic stimulation."
2001-07-31,"US economy continued its slowdown; July 2001 international trade deficit was $28.8 billion, a slight decrease from June, with both exports and imports falling.",
2001-08-31,US economy showed signs of strength with rising leading indicators in July 2001; ongoing fluctuations due to healthcare and labor challenges; US is an engine of the world economy.,
2001-09-30,"US economy faltering with job losses, wage stagnation, and slowing growth; monthly international trade deficit of $18.7 billion.","Terrorist attacks on September 11, 2001; Executive Order 13224 issued to target terrorism and its supporters."
2001-10-31,U.S. economy slowed in 2001. Monthly international trade deficit increased to -$29.4 billion in October 2001.,"World economy slowed, aggravated by September 11 terrorist attacks, leading to new U.S. political, economic, and security challenges."
2001-11-30,"US GDP shrank in 3Q 2001; October 2001 unemployment rose to 5.4%, a 5-year high. Long-term US economic growth projected at 6.2% annually.",
2001-12-31,US economy in recession since March 2001; November CPI unchanged; December 2001 US goods and services deficit decreased to $25.3 billion; expected labor force diversification and growth (2000-2010).,
2002-01-31,US economy in recession; world economy experienced pervasive slowdown; US international trade deficit increased to $28.5 billion in January 2002.,Petroleum price shocks affected the economy; terrorist attacks aggravated world economic slowdown.
2002-02-28,U.S. economy showed sustained strength with low inflation; 2001 recession affected demand for paper products; USDA published milk pricing report; trade deficit increased to $31.5 billion in February.,"US economy added 353,000 jobs in February 2002, exceeding expectations."
2002-03-31,"U.S. economy slowed down; chronic trade deficit decreased to $31.6 billion in March, with increased exports/imports. Unemployment rates varied, and personal saving rate declined.",
